rating,title,userName,date,review,developerResponse,isEdited
1,DO NOT MESS UP,Emmalulurose,3/18/2021 19:07,"I was somewhat enjoying having the app as a teenager, but it was impossible to do anything without an adult supplying the money. Then once I turned 18 it locked me out until I could provide proper identification. I put in the wrong stuff and they locked me out permanently. I emailed them and they didn’t even respond to my question. I guess they have default responses when it detects certain words because I said ‘information’ maybe twice and the email back was about “sorry you’re concerned with the information we take”. Um, what? Nice to know they don’t read it until the second email. So it took me 2-3 days to figure out I have to find a new application and there was nothing they could do for a mistake——it took less time to receive appointment approval for a mammogram during COVID. You might think, oh can’t you make a new account? No. Never. You can only make an account via the app and you can only sign in with the same details after that so the apps useless on my phone now.

In conclusion: Don’t get it as a teenager unless you have someone willing to give you money, DO NOT mess up an ounce of information or you’ll lose everything in your account, and expect your questions to take at least 72 hours for a proper response.","{'id': 21763744, 'body': ""Hi there, we're sorry to hear about your experience using Current & we apologize for the inconvenience. Our goal is to offer a premium banking service that's accessible to all. Part of that is making sure our users have seamless interactions with our support team & that their issues are taken care of as quickly as possible. It sounds like we provided you with the exact opposite of this & we sincerely apologize. \n\nIf you still need help or have any questions/concerns please contact us at reviews@current.com from the email address linked to your account.\n\nSincerely, \nSupport@Current"", 'modified': '2021-03-19T23:45:31Z'}",FALSE
1,Do not get it!!!!,TRAVIS!!,11/14/2020 4:11,Get ready because your about to hear a long story as to why I gave this app and a very generous one star. Least start off by saying at first it was fine when using the teen account when my parent would send me money if your only going to use it for that your fine. But DO NOT i repeat DO NOT use it for direct deposit ITS TERRIBLE. I put money on my card and noticed that it was not showing up on my spending balance so I contact the support people. Mind you THEY HAVE NO PHONE LINE. It’s all through text. And they tell me that on their end it’s showing up that I have money on there. I explain to them I can’t purchase anything because it’s saying my balance is zero. they couldn’t do anything for me so I had to wait 3-4 DAYS. Thankfully it came but not in a timely manner. So I have them a second chance. I used direct deposit I got paid two days ago with still nothing in my account I gave them some time because Veterans Day was the other day. But today I decided to contact them to see what’s going on after 15 mins she tells me that my money arrived in another account HOW IN THE WORLD DID MY MONEY ARRIVE IN ANOTHER ACCOUNT. I only have one account so what other account is there.......... and that’s why you should NOT USE CURRENT FOR ANY DIRECT DEPOSITS OR ADDING MONEY,"{'id': 19147163, 'body': ""Hi Travis, thanks for leaving a review and we're sorry to hear about your experience. We'd be happy to look into the issues that you had with your direct deposits. Please shoot our team an email at reviews@current.com. \n\nSincerely, \nSupport@Current"", 'modified': '2020-11-16T21:37:47Z'}",FALSE
3,"So far, so good",Anerahs1,7/8/2020 2:01,"I was skeptical about Current at first because when I reached out to their customer service, the representative was very rude and didn’t answer my question so I left the chat. I decided to still give it a chance and set up my direct deposit. I received my first direct deposit from my second job today and it wasn’t deposited until 11:30AM. I was happy that I got paid two days early but I wasn’t happy about the late deposit. Nevertheless, the good part about Current is the fact that they send you balance updates when you make a purchase. The updates include the amount you spent and the remaining balance on your card. I also like that you can tap your card to pay. That’s a pretty cool, fast, and efficient feature as well. So far, I haven’t had any major issues with Current. I gave them 3 stars because of the late deposit and the rude customer service rep. I may come back and update my review over time if positive changes occur. So, as of now I would say give it a try. If you’re a skeptical and untrusting person like myself, you can take my review as a guidance for making the decision to create a bank account.","{'id': 16487908, 'body': ""We would like to thank you for using our app. If you experience any dissatisfaction, please contact our customer care at reviews@current.com. We'd be happy to help.\n\nSincerely,\nSupport@Current"", 'modified': '2020-07-08T14:02:43Z'}",FALSE
1,Horrible Customer Service,32937Nick,11/3/2020 15:15,"I have been locked out of my account for over a month, they say 24/7 chat availability but what good is that if your locked out of the app, I have sent multiple emails and have received zero helpful assistance, I have had no issues until now but since this has happened it’s cost me a large sum of money so that being said I would highly recommend a bank that you can contact atleast by phone and speak to a real customer service rep. Rather than Current’s automated call center and faulty mobile app as well as extremely slow and embarrassingly poor customer service assistance for a so called “Bank!” I’m not one to complain but I rely on my checks weekly and when you have no access to control your funds for this long and no shown actions to assist your customer with a crucial issue, I felt the need to alert others that it’s obvious you have no concern for your customer’s needs, especially a “Choice Card Holder” You would think paying the extra for the better checking account might help get quicker assistance or any assistance period! I will absolutely be closing my primary account and will make sure to inform anyone interested in Current to look elsewhere for a more reliable banking option!","{'id': 18902225, 'body': ""We're sorry for the experience you have had thus far. We would love to take a further look into this for you. Please send us an email at reviews@current.com. We look forward to hearing from you and helping you troubleshoot.\n\nSincerely,\nSupport@Current"", 'modified': '2020-11-04T18:55:18Z'}",FALSE
2,I still am suspended and I haven’t even used it.,Stargazer°,9/5/2020 8:07,"I haven’t used the app fully or even at all all because I tried to make a new account for someone else on my phone and it wouldn’t let us and when I tried to sign in, it suspended me for suspicious activity. I STILL SEE YOU HAVING SOCIAL MEDIA INFLUENCERS GETTING SPONSORED TO ADVERTISE THIS WHEN YOU CANT EVEN RESPOND TO SIMPLE EMAILS OR DO ANYTHING TO HELP! You send generic emails that are all the same. Get customer service because a coffee shop and literally every other bank card has this figured out 100x better. I barely signed in for more than maybe a total of 5 minutes of use at most and “suspicious activity” is something a robot decided because I tried to make a new account for someone else on the same device! I still have your physical card too! Can’t use it. I’m sick of seeing the app on my phone and not ever getting an email response. Don’t bother using current. Read the reviews where people have no customer service because I rarely complain about anything let alone apps you can delete. I haven’t spent a dime or entered a dime into this account and I’m here to tell you to look elsewhere unless they can provide simple service.","{'id': 14216898, 'body': 'Hi, we apologize for any inconvenience you may be experiencing. Please send us an email at reviews@current.com so we can further assist you with this issue. We look forward to hearing from you!\n\nSincerely,\nSupport@Current', 'modified': '2020-03-24T14:12:30Z'}",TRUE
1,Way better options,slimlady82,3/2/2021 6:00,"Update: response from developer is that checks may take 3-5 business days to clear. I understand the policy. I don’t understand why it takes them 3-5 times longer than every other bank I’ve ever dealt with either professionally or personally.

I’ve banked with Simple for yrs but recently found out they would be closing. I found Current and thought it would be similar to Simple and set up an acct. I added money to my Current acct from my Simple acct which took around 5-6 days for the funds to be available for me to use. I then tried to use the photo check deposit. It took 4 days, 6 if you count the wknd, for my funds to become available to use. I don’t have the option to use direct deposit, because I work for a small business that doesn’t offer it as an option. Never in my life have I ever used or heard of a bank taking this long to make funds from a deposited check available for use. With Simple if I had my photo check deposit submitted before 4:00pm on Friday, my funds were available by 2:00am on Saturday. I guess the point of this is if you don’t mind waiting a week to have deposited funds available for use then this is the bank for you.","{'id': 21373466, 'body': ""Hi there, we're sorry to hear about your experience and appreciate the feedback that you've shared about our Mobile Check Deposit Feature. Checks that have been deposited can take 3-5 business days to clear. For more information, please reach out to our member experience team at reviews@current.com from the email address associated with your account.\n\nSincerely, \nSupport@Current"", 'modified': '2021-03-01T15:33:49Z'}",TRUE
5,It’s great,spacecandy21,7/23/2020 12:59,"For me the free atm is right by my old bank which was charging me hidden fees in the middle of this pandemic when I need my money more than ever. I decided to make the switch to current with little to no knowledge of it based on other people’s reviews I decided on current. It’s my first month using it I ordered my card in a Tuesday and received it the following Monday. So, not bad timing and they have a virtual card you can use in the meantime if you need your money now that works with Apple Pay if you need to use it in a store. There are somethings the virtual card doesn’t work for but it got me by until the hard one came. No hidden fees everything matches up, and they even allow overdraft up to a certain amount based on the individual and they fed my family one night and there is no overdraft fee just simply pay back what they allowed you to overdraft. I suggest it, very easy to use as well",,FALSE
1,THEFT,moll mullinix,6/10/2021 19:33,"this service is ridiculous. my roommate “banks” with them and owed me money a couple months ago, she sent me the money from her bank account and current added my card to her account without any authorization. i have all my accounts at another bank and have NEVER banked with them or even heard of them. well fast forward a couple months after she sent me the money, every charge she was making with her card was coming out of mine. i had 300 dollars taken from me. we called current bank to ask what was going on and they said they had been having this issue and then said they’d fix it. they then had the audacity to ask if i wanted to bank with them after they essentially stole my card information ?? we said no and then told them we were going to be removing all the funds and banking somewhere else and then to NOT put her card on hold. 20 minutes later they call to confirm with us we wanted to put the card on hold, we then said for the second time we DIDNT want the card on hold and then the next day find out they put the card on hold anyways. this is an awful service and you are better off banking with a real bank.",,FALSE
5,Update,trippifr,10/23/2020 2:56,"So i got a new phone, and i cant log in. i used current on my old phone and lost it, and used an tablet to use current. i deleted current off the tablet cause i thought it wouldn’t be that hard to log back in my account on my newer phone. and random subscriptions are coming off my card, that im not paying for anymore. i need to log back in on my new phone so i can hurry up and put my spending money in my savings, cause every time my mom sends me money i automatically pay for the subscriptions im not paying for anymore. that is why i dont like Current. UPDATE: I was able to log back in my current account on my laptop, but i’m still locked out on my phone. I try deleting the app and downloading it back but i’m stuck on the “link to parents account or invite your parent” screen. if you have anyway to fix this problem please let me know.","{'id': 18484798, 'body': ""Hi there! We're sorry about the trouble that you're having when trying to log into your account. We would be happy to get this resolved for you. Please reach out to our team at reviews@current.com for more assistance. \n\nSincerely, \nSupport@Current"", 'modified': '2020-10-14T20:14:19Z'}",TRUE
1,Customer service,SunShyne082,2/23/2021 3:47,"I have went online to contact Current thru email and the number provided. My work schedule conflicts with me getting to speak to a representative so I asked if I could be contacted before 12pm. Well they did one time after that I have not received any help trying to access my Current account or get a new card. I have asked repeatedly for assistance. I have stated to them that my son has also tried to access my acct because the number that was attached is no longer in service or he no longer has that number. It’s been over 2 weeks and I have yet received a response by email nor by phone call. I thought this was a good card and it’s seems to be but how when you can’t even get a Customer service agent to assist in getting you back into the app to request for a new card and update your information. I have sent over 10 emails I have called almost 10 times leaving messages for HELP. And guess what no response. Can Someone Please Help Me get back into my Current Acct.    
           Another week which makes 3 weeks and still no response by email nor by telephone.","{'id': 21269793, 'body': ""Hi there, we're sorry to hear about your experience and we'd be happy to investigate this further. Please reach out to our member experience team at reviews@current.com from the email address associated with your account for assistance.\n\nSincerely, \nSupport@Current"", 'modified': '2021-02-24T16:13:00Z'}",FALSE
1,Not recommend,ejn🧿,11/13/2020 13:22,"I decided to try this app because I have a teen with a job, and thought this would be a good way to start their “banking lessons” without the penalty of overdraft fees from an actual brick and mortar bank( Wells Fargo, bank of American...). From a distance this look great!
Not so much, you can not add cash to your teens card because it’s not allowed!?!? But then you can’t add cash to the parent side either your forced to link it to another bank. Customer support work around was to delete the app and then reinstall it. Which I did and nothing changed, Super annoying! 
When you transfer money from your actual bank to the current app it takes a full day to post even though it’s already cleared /deducted from my bank account.
Then when you mobile deposit a check (my teen’s payroll check to be specific) it takes 5 business days. Five days is a little ridiculous especially for a payroll check, and no where on the app does it tell you checks take 5 days to clear until after you endorse the back of the check🤬
Other then that it’s pretty user friendly, just not what I was expecting it to be.","{'id': 19146899, 'body': ""Hi there, thanks for leaving a review. We're sorry to hear about your experience and appreciate your feedback. Our team would be happy to look into what happened and provide additional information on how our services work. \n\nFeel free to reach out to us at reviews@current.com. \n\nSincerely, \nSupport@Current"", 'modified': '2020-11-16T21:15:54Z'}",FALSE
5,Thank you mr beast,Bear42790,5/9/2021 4:36,I have been with about 4 other cars like this also a few banks and I have never received anything from not one of the subscriptions. Right from the start with this account I was already been given some prizes for applying and out of the goodness of Mr. Beast heart he also gave me a present that helps out a lot for a single father.I’m not saying that you will receive the same things as I did but what I do know is that you will be well taken care of as an individual not just a number like the others. Thanks again  mr beast and current card.. so what are you waiting for sign up and start feeling Better about your finances.. I am not a paid actor or am I getting anything for taking the time out of my life to Wright a review. Just a regular dad that’s trying to make it through COVID-19 with  less stress about where my money is at. Every Dollar counts these days!!!!,,FALSE
1,Worst banking app EVER,Officialsummerdawn,11/27/2020 16:41,"I had my direct deposit set up on this app, I received it but it was pending and I googled it and said it would be several days so I reluctantly upgraded to premium, which still did not release my funds. It took about two days which wasn’t too bad. But now when I went to go use my card I can’t because they canceled it to send me my premium card... so now im going on day 5 with no access to my ENTIRE PAYCHECK. I’ve tried hooking up to cashapp with the “virtual card” cashapp said they didn’t accept this. I tried paying someone through apple pay to try to get my money off, the app won’t let the payment go through. I have no way to pay my bills, no way to get myself gas or food, the money is just stuck o the account. Not to mention I tried to reach customer service and all they have is the chat option and the person did nothing to help me whatsoever. I tried routing the bank account to cashapp as well, does not work. Why would they cancel the card I have to send me the premium card???? I am stuck with no money and no way to get it out of the account. DO NOT DO IT.",,FALSE
1,Terrible Don't Use,husfmkfb,9/1/2020 7:24,"I been using current for maybe a week but within that week they have stolen 60$ from me then tell me i can verbally talk to anyone on the phone instead they end the chat on me and ignore everything i was asking them 
I'm still waiting for my 36$ bank transfer that i did literally the day after i activated my card then i tried to order food and it took off the payment twice and they are still holding my money. I don't understand this company and i've seen a lot of reviews on instagram about how they are scamming people and stealing money i will be sure once i can finally figure something out about my pending money and my missing 36$ to cancel my account and make it my life mission to help other young adults like myself not use this app for all this guys just use venmo they are the greatest i have no issues with venmo and it's basically like current just a lot better. so please whoever is reading this DO NOT USE THIS APP NOR CARD it's a scam and they are going to steal your money in a blink of an eye and ignore you and act like it's your fault.",,FALSE
5,Don’t Understand The Bad Reviews,♾SeaSugar♾,1/8/2021 21:49,"I Started using Current because it has the feature for adding another card for your Teen. I got him his own card that he got to design & he uses for his games an so on. I liked using Current so much that after 8 yrs with Amex Serve card I completely switched over to Current. U can Pause/ or UnPause your  card in seconds & even Block certain companies from taking any money. Plus my company pays us on Fridays but Current drops my Direct Deposit 3 days early. I Freakin Love the card, I have no idea why people give it bad reviews but it definitely deserves my 5 Star Approval. My Wifey & Daughter now use Current as well which they love due to the fact I can transfer them funds in seconds. It also seems that they are adding new & improved features all the time which is great!",,FALSE
1,Current card is not a good debit card,G'Luv Lopez,5/26/2021 20:34,I would not recommend anyone to get connected with current due to the fact that money was withdrawn from my account without my consent and when I called customer service they basically told me that they couldn’t do anything about it that I will have to call to whoever took the money so they could put it back that they were unable to do it themselves that they would have to do an investigation within three days so that my money can be reimbursed back they talk about no hidden fees which they do have they talk about that they’re on able to do anything or give me my money back and it was not only the first time that it was done I definitely think that I will not give you no stars due to the fact that they never resolve my problem with returning the $110 that was taken from and every time you would do direct deposit they would take a percentage so the whole paycheck was not going through advice to everyone if you do not want to lose your money do not connect an account with current,,FALSE
5,Great for adults but the teen app is amazing!,RFdenver1981,4/26/2021 15:04,"The developers did a great job with the feel and flow of the interface.  The Current debit card is also nice because it is NFC/Tao enabled - even the big banks haven’t been doing that until very recently.  
The teen app is even better than I expected it to be.  For my kiddo I was looking for something that functioned like a real checking account with an associated debit card.   The Current product does this and it’s software is amazing!   I can setup chore lists, my daughter can setup savings “pods” for the things that she wants.  I can monitor all of her activities and even have the ability to restrict where she spends at.   
Great job on the app guys!  I look forward to watching your product and offerings grow.  It would be neat to be able to move ALL of my banking needs to you!",,FALSE
5,Current is the Bomb!,ButterflyB*tch,12/12/2020 3:30,"From The Virtual card that’s accessible from the app to use if yours comes up missing to the blocking features and the ability to build budgets and the ability to create savings accounts from the app, makes this card superior to almost every app based prepaid account that I’ve used before! Plus their customer service call center goes over and beyond the standards for great customer care and issue resolutions that really does get resolved quickly and effectively without the struggle of constantly sitting on an annoying customer service caller waiting list for hours just for them not to pickup the phone for you anyways! They truly are remarkable and above average in comparison to others! Try them out and see!",,FALSE
1,Make funds available,ashden91,2/24/2021 23:24,"Having your funds deposited earlier is a good idea in theory but it’s pointless if you put a hold on the funds for a day or two making them unable to be used anyway. It defeats the purpose of you guys doing the deposit a few days earlier than expected...I will likely be closing my account as I shouldn’t have to wait days to be able to spend my money due to my funds being in my account but not being available to use every time I get a direct deposit

ETA: in response to the developer, even with other companies when a deposit is shown as pending it is still applied to your balance and the funds are made available for use, unlike with you guys. I shouldn’t be left stuck waiting and unable to use my fund from my paycheck for days, even when the deposit is put in my account a day or two earlier than the actual deposit date for my job. I also shouldn’t have to pay extra for a premium account just to be able to use my own funds sooner","{'id': 21269361, 'body': ""Hi there! We'll credit your direct deposit as soon as we receive it if you're a premium member, but standard direct deposits can take up to 3-5 business days to clear. If you're experiencing a hold on your direct deposits, we'd be happy to look into what's happening. Please contact us at reviews@current.com for more information. \n\nSincerely, \nSupport@Current"", 'modified': '2021-02-24T15:45:30Z'}",TRUE
