userName,isEdited,date,review,rating,title,developerResponse
Covey's,FALSE,6/30/2020 2:29,"So I started using Affirm back in 2018. I started with a lower approved credit amount but paid the first one off and I was able to get an increase. This happened time and time again for a total of NINE paid off loans without ever having a late payment. Recently I had a large revolving credit line with not even half being used, the app decided to pre approve me again and I was informed they could not approve me for a loan and the decision was final. There have never been any late payments to this day, NOT ONE. I still have 4 open loans and have paid them on time as well even through this pandemic. I emailed Affirm and the generic robot replies I received clearly indicated they didn’t read or care about what I had to say. One of the deciding factors was my PAYMENT HISTORY or lack there of with the company. They use trans union for credit approval but report to Experian who shows I have 100% payment history with never a late payment. There were more issues but I’d be here all night typing. I was so happy and pleased with Affirm, I bought things I wanted and rebuilt my credit, they made money off me. Was a great win win for both parties. I’m one person with a MILLION behind me to take my place so why would they give a @%$^?",2,Was great now NOT so much.,
JODy@1966,FALSE,4/2/2020 16:06,"I found this confusing at first but probably because I skimmed everything and didn’t read everything.  When I was first given the loan it looked like a check and I didn’t realize that had to be used for one purchase only and what was left over wasn’t usable.  I was booking a trip so I applied again for the AirBnB and the loan I was offered was much lower but covered where we were staying.  That had my total loan at around 500 because I started paying it back and wanted to secure my car, I was then declined because they could not establish who I was suddenly.  I have since tried 3 or 4 times but to no avail so I wrote in to the company today to see what was up.
     Until the not being able to know where I am the program was a cool app to use you just really need to have what you want already found and be able to have it as a single purchase.  I haven’t given up on the app just because the simplicity of it is great!  It truly was the easiest line of money to get and pay back.   Give them a shot",5,Affirm App,
Bunny. J,FALSE,6/4/2020 10:07,"This app came in handy when i needed! BUT please understand each loan you take no matter the size does show up on your EXPERIAN credit report. I was approved for about 2500$ I made purchases at multiple retailers. Thought nothing of it till I seen my credit report. My fico went down for having a consumer installment loan. Not knowing having 9 loans at the time. Also it shows as closed accounts when paid off. So safe to say my score will be going down yet again because I now only have 3 loans left so. I will have 7 closed accounts on my report (originally had 10 from affirm all equaling 2500$ in total) so although you get approved for one lump sum. If you shop at different retailers it will all come up individually on your experian. 

Also before finding all this out I paid down my loans and attempted to get another for an emergency and was denied twice. First time for supposedly being unable to verify identity smh and second for having two many open loans even though the balance was down to less than 1000$. So if you reallyyyyy need to use this please stick to one loan period. Even when paid off do not use again",3,Just some credit info,
39:&:$:!:0;',FALSE,8/9/2019 12:57,"For a young person who is mostly responsible with their money, Affirm is a gift from above. Affirm allows me to make the purchases I’ve always wanted, but could never afford on my current budget. Both the IPhone App and the online website have such a user friendly display. It shows you precisely when and how much you will need to pay each month along with the total left of your entire purchase, including the breakdown of what you are paying for. On top of that you can even pay early to stay on top of your purchases. In my experience with returns, they are a breeze. I sent back the product I bought to the company I purchased it from ( ECS Tuning ), and within three days of leaving my local FedEx there was a return taken right off from my affirm payments. Overall if you are responsible with your money and have good experience with paying monthly bills ON TIME... affirm is a great way to allow those expensive, in my case recreational, purchases into your budget.",5,Affirm opened up a whole new chapter in my life.,
TrekGal!,FALSE,4/19/2019 8:58,"This app is set up easier than any other account I use for my credit cards.  It is designed to be simple and straightforward so a user can get on with a thumb scan. A user does have the option of using their phone number to log on but that takes a bit longer.  When you start using the app, you just give your account number you will have money withdrawn from, and either go on every month and pay......really takes less than a minute to do, or set up auto pay. They also have an option every time you log on to see if you are prequalified for future spending. No hard credit check for this either. I did this to buy an expensive exercise machine and I just accepted the offer and then was shown how to pay for it with the pre-approved funds. Be aware, once you start a loan with affirm, it does go on your credit report. Pay everything on time and hello higher score. 
Overall, best app I have used so far (and I use a lot of them).",5,Quick and efficient,
Moepp88,FALSE,9/4/2018 13:52,"I found this through way-fair - I wanted to buy a new mattress (which we all know they get fairly pricey) and I found one I liked and it was on sale so I wanted to seize the opportunity, but didn’t have as much as I needed. I used Affirm to buy the mattress and everything has been wonderful. The process to borrow was fast and simple, the interest rates are relatively high but that’s assumed with companies like this - that being said, if you pay it off quickly and in lump sums you save on interest fees and essentially get it for a decent price with the interest. After all, you can’t expect to borrow money and not give money for the convenience. I wouldn’t use this all the time or in a frivolous manor, but it def is great to use on purchases like I mentioned above. I haven’t had any problems with Affirm. I got the money, spent the money, repaid the money in a timely manner, and everything was as it should be. 5 stars, all around!",5,5 stars all around!,
wish I never heard of Affirm,FALSE,4/28/2021 13:09,"I called because I haven’t received merchandise I ordered over 4 weeks ago and honestly have no ideal if I’ve even getting it at all because I’ve had little or no contact with merchant and can’t get a phone number to call them. When I called affirm they gave me a bogus number that no one would answer or option to leave message. I don’t think it’s up to me to certify with this merchant as to whether or not they are gonna supply merchandise. Affirm wants my money it should be up to them to settle the matter, they haven’t given me any money so in my eyes I owe them nothing. I’ve went ahead and paid my payment on time becuase I don’t want my credit messed up but if I haven’t received the merchandise by the time the next payment is due Affirm won’t be getting another payment from me and I will be turning them into the BBB. You can’t charge someone for something they haven’t received and if that said company has already paid the merchant than they should take care of the issue. I have decided that’s why they don’t let you pay with a credit card because they wouldn’t  be able to get away with this technique they use.",2,Not very helpful,
evrydaisvacation (-:,FALSE,6/3/2019 4:42,"This app is super easy to use and has gotten me in a lot of trouble as it relates to shopping! I love the convenience of Affirm! It is a unique and wonderful alternative to debit or credit, and I don’t feel the pressure of credit scores or income when I need to use this as a medium for purchasing.

What I do not appreciate is when I moved, it has been a royal pain in the tail bone to get my address and phone number changed. It is irregular to most companies where you can edit the info yourself; rather, you give them your new phone number and then await a call from them hoping it will come through at a convenient time so they can verify you actually changed the information. God forbid someone else grabbed your phone and changed it for you. I have played phone tag with them for over a year and my billing address/phone number are still incorrect. It’s ridiculous. 

Aside from my frustration over the despicable account minutiae, I appreciate Affirm and find the concept to be appreciable as well as convenient for daily transactions.",3,Great functionality - hard to manage personal account,
JemEO,FALSE,3/9/2019 12:26,"I do like purchasing things with affirm from time to time if I just do not want to shell out the money immediately.  I have made a few purchases with affirm over the past couple years of relatively large value.  I have decent credit and they were all approved, paid off early or on time, no missed payments - fine.  But, on top of getting ridiculous interest rates, 20%+, I used affirm for a purchase of a couple hundred dollars for something I needed since I did not have a card on me at the time.  Now I want to purchase something else, and can not get approved.  So despite having over a 750 credit score, having never missed a payment, carrying high balances and all else, having the other affirm loan counts as a high balance apparently. It does not seem to take into account having previous loans with them among other factors, so I will not say I recommend affirm unless really in a pinch.  

Convenient to use now and again. But makes it not worth it because of the interest rates, approval odds/amount, and the algorithm for how it qualifies people.",3,Decent but qualifiers need improving,
Bob the body,FALSE,12/27/2018 18:47,"Currently I just paid off a loan with affirm and about 6 mths ago I tried to see if I was prequalified for something again and I wasn’t which is understandable however credit scores change and my credit score went up since then to a good rating but because of that particular time frame I put in for a pre-qualification 6 mths ago, still to this day you say your decision is final even with a paid off loan and it being 6 mths later. It’s cool no hard feeling but I think from me, I give this app a 1 star for that issue because you are a creditor and telling somebody no and that’s final knowing credit always changes isn’t fair but hey it’s your app. not giving folks  another chance at a loan to me shows (A)  not a good credit source provider and (2 )obviously you don’t want to increase revenue for customers who return for future loans cause you base them as a risk off one credit check",5,Change the way you allow folks to qualify for credit,
Gramirez3653,FALSE,12/27/2018 15:26,"HIGHLY RECOMMEND Was kinda hesitant to try buttt glad I did!! This is basically a small loan or finance app if you wanna buy anything but aren't trying to blow all your money they finance it for you CREDIT DEPENDING. You will qualify for something which is better than nothing, they don’t leave any inquiries when checking your credit which is a PLUS. Probably the simplest app to barrow money on. I Use this app for car parts when I want to buy some but don’t wanna blow my money all at once. They will let you see how much you’re pre approved for and it isn’t a lie no gimmicks or hidden fees they show you what you pay or a late payment process. everything is there for you to see and you’ll even have the option to pay off complete balance and it’ll show you how much you’ll save in interest! Definitely Definitely recommend you can use this anywhere where they accept Affirm !!",5,Wanna shop and pay later? No prob👌🏻,
Icorbot,FALSE,9/26/2019 1:04,I hate having to dish out $300 upfront for a part for my car. Using this app and their services I can make quick and easy payments. Yes they do have interest fees but I’m all about doing payments instead of paying upfront a huge chunk of money. You can use their services anywhere that takes a card. Its amazing when you use their service and before you even pay a dime you get the part or item you wanted then you go and do what you want with it. Like right now my car needs a radiator $450 for radiator and hoses. Then I got me a timing belt and water pump kit (needed to be done at 100k it’s at 125k now so Better do it now) that was $276 so a total of   $726 and got those parts in less than a week and I haven’t payed anything on it yet. Payments aren’t horrible at all. But all in all I really enjoy using this app it’s very easy and simple to use. 100% would recommend to a friend.,5,Quick and easy,
Mrs. Gigi Ayala,FALSE,8/22/2019 16:53,"They are very persuasive and will harass you hundred calls a day and threaten you verbally.  The app shows you the opportunity to pay up 2 times consecutively if so, who doesn’t have one month of hardship a least 1 time a year. These people will even block you the opportunity to apply again so where else for a 1 time late payment. I was late less then 30 days because they only take debit or bank account payments and I even paid the following months loan at the same time 2 payments upfront. I have great credit plus amazingly 100 % good standing payment history, and I’m still denied to access this program for another loan option elsewhere. Wish they where a little more considerate specially if I did not by pass to the second month of payment and paying both payment one less then 30 days and the next following one made it super early.",5,Great loan program but has its risks,
OgDaddyNate,FALSE,1/29/2021 14:22,"Honestly was quite unsure about using this service as there is a lot of misinformation online about them . But once I tried it , I may never go back to traditional loans , that is , for stores that they cover . I would even opt to use them instead of my credit card solely based on ease of service . Not that my credit card isn’t easy to use ( LOL ) but the fact that loans build credit different than credit cards . The customer service is awesome , very quick , responsive , and kind . Returns process relatively fast and you usually don’t have to make any payments if it’s processing , and if you do they reimburse you as long as it was in processing before your due date , at least from what I understand . All in all it’s a dime . If I could give it 10 stars I would . And they definitely deserve some credit for this service! Good job, I’ll continue to use fs !",5,"Great app , and great and quick loan service.",
Laurelish,FALSE,1/21/2021 2:17,"As a single mother of 4 with less than stellar credit, affirm came through when I didn't know what to do. Pandemic hit and I only had a small fridge, I was able to purchase a deep freeze to make sure I had things in stock when going to the store wasn’t an option. 

Soon after, my dryer broke  and I was able to purchase one without being charged huge financing fees or high interest rates. I’ve been able to replace a 20 year old tv and 10 year old mattress with affirm. I will continue to use this option to make my larger purchases without breaking the bank. 

Thank you for having my back and helping me to slowly, but surely improve our quality of living. Large expenses aren’t feasible, though I work full time. I’m also a full time college student working towards my career goals. I’m grateful there’s an option out there that works for and with me. 🤍",5,Budget Wise,
Tatt3dgirl,FALSE,10/24/2019 4:29,"My credit was in poor status, affirm gave me a $250 credit line. Although my credit was poor at the time, due to a divorce and foreclosure on a home, I was able to get that small amount of credit and pay it back quickly. Affirm takes into account your payment history with them, in a years time I was approved for a $2k line of credit. The interest is high, but when your credit is suffering it’s just the way it has to be. Since my first time using affirm, I’ve been able to get 5 separate loans that I was able to pay back at my own pace. You pick the the length options available for a better rate or smaller payments. It’s up to you! And yes, you can use it ANYWHERE, instantly!! Not just online. They issue you a virtual card to use immediately. So easy, and the app makes keeping up with payments seamless. Thank you Affirm!!",5,High APR but worth it.,
Kmiksy,FALSE,3/25/2020 20:14,I been using this app long time ago doing my loans payments using autopay that why I’m doing my payments on time . They always send me an email saying I was doing great . I paid more than $1000 in loans on time . My prequalify amount was up to $650. So I wasn’t happy with that amount but Kept using it because every time a do a loan is for less than amount . Yesterday I decide to do a loan for $200 and they deny it to me only accept a loan for $120 . You are kidding me? How in the world this is happening if I been doing my payments perfectly fine and they a punish me for no reason . I call costumer service and they couldn’t help me they just told me to keep doing my payments to raise my qualification again . Obviously if I continue to pay that will go up but starting on $120 when It should be continuing from $650 I use to have. They don’t give me any reason of why they drop my qualification amount and did nothing to help . So now I can’t use this anymore so I’m going to close my account . They should do this c@&b to people that are not good payables and have a lots of late payments.,1,I don’t understand why this app have so many good review,
Bo zbrooks,FALSE,4/24/2020 21:57,"I have used Affirm 5 times. Convenient with competitive interest rates for this type of loan. The problem is, they don’t verify purchases have been completed. For the second time they have set up a loan before the product has been delivered to the buyer. When you advise them of product delivery problems, they tell you to contact the seller and work out the issue yourself. That’s fair once you have received what you purchased. My issue is for the second (and last) time a loan has been set up and billing has begun BEFORE the product purchase has been completed and shipped (or delivered)! They don’t have a resolution process that is easily accessed. 
Once this last purchase is completed, I will go back to using a credit card. Customer service, if you can call it that, leaves a lot to be desired. Not worth the hassle!",5,"Convenient, but they need to manage vendors",
Yruwel,FALSE,4/2/2021 18:19,"I have been using Affirm over the last few years with much success until recently. Previously, if an extra payment was made, I was given grace in the amount of the extra payment with regards to when the next payment due. This has happened for 6 prior loans with Affirm. On my current loan (no interest), my extra payment in the amount of $1100, only granted me only month grace. The Affirm help center was unhelpful and I had to get a customer service number from a third party site, which is also new and very disappointing. The initial representative, as well as the Supervisor were unhelpful and basically told me this is how we process loans, despite previous patterns. To correct this issue, they have to reverse the extra payments and I have to go back into to the app to make 7 individual minimum payments in order to “push out” my next payment, which is very frustrating. Thankfully, there are more installment loan companies arising, so I can take my business elsewhere since Affirm has changed they way they do business.",2,Changes to extra payments,
I couldn't afford FREE,FALSE,6/17/2019 23:24,"Imagine winning a cruise for two and all you have to do is get to the dock in Miami from Atlanta. Wow, right?  Nope.  To plan for a trip now is to pay for a trip now so I was going to have to turn down the free 8 night cruise because I didn’t have cash or credit available for the flight.  (I hate driving). However, as I began to make the flight arrangements to calculate costs ... up pops an offer to pay later with AFFIRM.  Of course I took advantage of the offer! We can fly to Miami the same day the cruise departs, no need for a hotel or agonizing long drive. We return and fly home no down time no massive expense!  Whew! The free cruise is a go!  We leave in July and I’ve only had to make 1 / $86 payment for our two round trip tickets that include seats and bags!  Don’t deprive yourself!  Live within your budget but enjoy your life! With AFFIRM I can do both!",5,Dreams do come true!,
Karleetx,FALSE,7/14/2019 5:21,"So I’m starting to see this company is slightly shady. I signed up for affirm to make a large purchase thinking it was similar to Afterpay. Signed up, got approved for up to $2,500. Couple days later I saw there was an app so I downloaded the app and it promptly asked for my phone number which I added. My bank account and everything was already added before, everything seemed to be loaded correctly onto the app. Went to make my purchase and it told me I was not eligible to use affirm. They then sent me a reason why, which promptly lead me to pull up my credit report because of what I saw! It said my credit score was about 75 points lower than what I knew it was and said I lacked credit history and had historically delinquent accounts. Mind you I HAVE NEVER MISSED A PAYMENT IN 12 YEARS! And my oldest account is 14 years... so I’m not sure where this came from! But my question is why did they approve me and send me an email AND text stating I was approved for $2,500 only to tell me three days later they can’t approve me for anything?! Stay away from this company!",1,More towards the company not the app,
LizSMN,FALSE,2/16/2019 23:31,I got the app as it was a way to pay for a willow breast pump (also amazing) and it’s paid now before my baby has arrived. as this is my second child I knew the pump would be worth the investment but I didn’t have the money up front with all of the other expenses we had. We also ended up having our laptop break the same time we needed winter tires and were able to get that set up in payments as well. I have been using affirm 6 months I have paid the pump off and am paying about 100 a month (for the 650 tires which were a Black Friday deal and a good brand with installation and warranty included) And my chrome book so I could continue to work on my graduate degree. It’s easy to pay and apply if someone told me about this I don’t think I’d believe them. I’ve told friends and family and they have now tried it too and now use it.,5,Easy perfect,
Jenny.bee3,FALSE,8/17/2020 13:13,"I typically like to make small payments rather than a lump some of cash for something. This is perfect! I do my Christmas shopping, birthday shopping, Mother’s Day, etc on this app. Lowest rates ever! Not to mention you get options of how many months you’d like to pay back. And recently I can’t make payments due to injury and off work, and the process to push back pay dates was unbelievably easy!!! And they add no extra payments or interest for missing a payment! I’ve taken probably a total of $5,000 in loans and I barely make $20,000 a year. And I’ve never missed a payment nor couldn’t make it regularly (till recently) bc everything is so easy to navigate, Its all paid out neatly for those her stress about a difficult layout. Like this app has been my life saver for over 2 years now. It’s perfect.",5,Download this life saving App!!!,
J'siPhone,FALSE,10/11/2019 6:27,"Affirm provides small loans for a verity of purposes (shopping, vacation, etc.), and unlike some lenders Affirm allows customers to repay loans on their terms. Using Affirm is extremely easy. After ones account is setup borrowing is quite easy. Basically after shopping online and obtaining the full amount of a purchase, you can click over to Affirm, request your loan, then be given a virtual credit card to complete your purchase with a merchant. 

When you login Affirm will tell you the amount that you’re prequalified for, without staining your credit report and score with hard inquires. You can choose your repayment terms, whether that be 3, 6, or 12 monthly payments. You can sign up for automatic payments, or manually submit payment of a monthly basis. Either way, Affirm provides timely messages via text message and/or email as a reminder when a payment due date is approaching.  Affirm allows payments to be authorized and submitted via text message. 

Affirm reveals up front how much you’ll pay over time in interest for a loan,  but also allows you to skip paying interest altogether. You can repay your loan in full, without penalties, at any point. 
It’s like having access to an American Express card, without needing a credit score >800.",5,CREDIT ON YOUR TERMS,
gha2018,FALSE,8/12/2018 17:35,"The app does not allow for one off payment. With you pay in advance, the app (and website) remove the next (a future) payment; which causes the person to have to input another payment before the assigned payment date. The app should list all future payments. It should also allow you to adjust the amount you want to pay for each, on both app and website. when a payment is scheduled in advance, the inserted payment should not remove future payments- if the site were updated to allow automatic payment to be adjusted, there would be no reason to remove future payment automatically. This is one reason I don’t prefer to use autopay.

Why do I need a nickname to submit this information. This is a benefit to you which I am not being paid to do. So now I am really fined since I have tried to submit this multiple times. That feature is really ‘bad’. Get other people to test this app, regular people don’t listen to your technical people because they don’t know how people use apps.",2,Payment history,
Zinaisdissapointed,FALSE,9/16/2020 23:32,"When I try to pay with affirm card the payment do not go through...Literally nobody cared of this issue..It’s been two weeks I have contacted them via Email...each time I get answers and advises which do not have any logical connection to my issue...I do called them several times they told we will solve, we will email you...they email with again general info which I don't need))) and they say if problem is still there call us ...I call they say we will email, and this process looks like endless ....I feel like truly no one cares. And I dropped the idea to use affirm... If their app does not have the store logo for which you wanna apply for card... they will process and give you card but you forget about of using it!!!! It will expire in 24h and you will not be able to activate it coz card will not work and your payment through that card will fail...And yes...they will send you million times email that you have to use it during 24h... despite the fact that you say them million times that you cant use it ..it does not work ))))",1,Worst customer service,
Rate our game,FALSE,3/9/2021 18:59,"You no longer have to earn a high salary or be born into wealth to live a more affluent lifestyle!!! Get approved to use affirm today and give your quality of living a total upgrade overhaul.

 With affirm you can work swiftly towards achieving goals and dreams you never even imagined making progress towards...you can even pay for monthly groceries using affirm virtual card and apple or google pay on your device, just make sure the store offers mobile pay or make your purchase and pay online then go to pick it up or have it conveniently delivered.

I was approved for affirm just after the holiday season ended and made Christmas come a second time for my household, I am now a huge fan and pledge my undying loyalty to the affirm program... seriously, your app has completely altered my life and the lives of my entire family for the better. From the bottom of my heart.., thank you. 

I give Affirm five stars, I would give it twenty stars where allowed - I recommend it to friends and family and will continue to recommend it to absolutely anyone and everyone I can, I strongly believe affirm has the potential to alter finance and healthy living for the individual forever. 

Everyone should be using this service!",5,Change your way of life today with Affirm!,
tobeisthat,FALSE,1/10/2021 2:34,"I decided to give this a try without realizing if a vendor cancels an item, Affirm will NOT readjust the total that was actually purchased. The terms are not automatically updated on the app. I did not receive an email of updated terms. So far I got an email about a credit for the item that The Vendor canceled, and not myself. Affirm “applied” the credit on the payment tabs schedule but not the actual amount in the terms, ie sales price that = loan amount. Meaning, I’m still paying for the amount of an item I NEVER received AND the interest for that never revived item. A credit in the schedule doesn’t mean anything when the actual terms showing the TRUE total of what’s borrowed was not adjusted. To top it off, I put a down payment based on the original amount borrowed. Meaning, I just got ripped off. I highly recommend you don’t use this app. Read their terms on how even if an item is returned, you’re still going to pay the interest for it. Afterpay and Klarna are SO much better. The terms are laid out front and not dependent of “if then” washy jargon.",1,Not worth it.,
