Case,Date,Sales Person,Activity
5032,4/7/2011,Bob,Lose
5033,4/8/2011,Mary,Lead
5033,4/12/2011,Mary,Contact
5033,4/13/2011,Mary,Contact
5033,4/14/2011,Mary,Contact
5033,4/18/2011,Mary,Contact
5033,4/20/2011,Mary,No Quote
5033,4/21/2011,Mary,Lose
5034,4/22/2011,Bill,Lead
5034,4/25/2011,Bill,Contact
5034,4/26/2011,Bill,Contact
5034,4/28/2011,Bill,Contact
5034,5/4/2011,Bill,No Quote
5034,5/5/2011,Bill,Lose
5035,5/6/2011,Jane,Lead
5035,5/10/2011,Jane,Contact
5035,5/11/2011,Jane,Contact
5035,5/16/2011,Jane,Contact
5035,5/18/2011,Jane,Quote
5035,5/19/2011,Jane,Lose
5036,5/20/2011,Bob,Lead
5036,5/26/2011,Bob,Contact
5036,5/27/2011,Bob,Contact
5036,5/30/2011,Bob,Contact
5036,6/1/2011,Bob,Quote
5036,6/2/2011,Bob,Win
5037,6/3/2011,Mary,Lead
5037,6/6/2011,Mary,Contact
5037,6/8/2011,Mary,Contact
5037,6/10/2011,Mary,Contact
5037,6/14/2011,Mary,Contact
5037,6/15/2011,Mary,Quote
5037,6/16/2011,Mary,Win
5038,6/17/2011,Bill,Lead
5038,6/21/2011,Bill,Contact
5038,6/22/2011,Bill,Contact
5038,6/28/2011,Bill,Contact
5038,6/29/2011,Bill,No Quote
5038,6/30/2011,Bill,Lose
5039,7/1/2011,Jane,Lead
5039,7/5/2011,Jane,Contact
5039,7/11/2011,Jane,Contact
5039,7/13/2011,Jane,No Quote
5039,7/14/2011,Jane,Lose
5040,7/15/2011,Bob,Lead
5040,7/18/2011,Bob,Contact
5040,7/20/2011,Bob,Contact
5040,7/21/2011,Bob,Contact
5040,7/22/2011,Bob,Contact
5040,7/25/2011,Bob,Contact
5040,7/26/2011,Bob,Contact
5040,7/27/2011,Bob,No Quote
5040,7/28/2011,Bob,Lose
5041,7/29/2011,Mary,Lead
5041,8/1/2011,Mary,Contact
5041,8/2/2011,Mary,Contact
5041,8/8/2011,Mary,Contact
5041,8/9/2011,Mary,Contact
5041,8/10/2011,Mary,No Quote
5041,8/11/2011,Mary,Lose
5042,8/12/2011,Bill,Lead
5042,8/15/2011,Bill,Contact
5042,8/16/2011,Bill,Contact
5042,8/17/2011,Bill,Contact
5042,8/23/2011,Bill,Contact
5042,8/24/2011,Bill,Quote
5042,8/25/2011,Bill,Win
5043,8/26/2011,Jane,Lead
5043,8/29/2011,Jane,Contact
5043,8/31/2011,Jane,Contact
5043,9/1/2011,Jane,Contact
5043,9/6/2011,Jane,Contact
5043,9/7/2011,Jane,No Quote
5043,9/8/2011,Jane,Lose
5044,9/9/2011,Bob,Lead
5044,9/12/2011,Bob,Contact
5044,9/13/2011,Bob,Contact
5044,9/16/2011,Bob,Contact
5044,9/19/2011,Bob,Contact
5044,9/21/2011,Bob,No Quote
5044,9/22/2011,Bob,Lose
5045,9/23/2011,Mary,Lead
5045,10/4/2011,Mary,Contact
5045,10/5/2011,Mary,No Quote
5045,10/6/2011,Mary,Lose
5046,10/7/2011,Bill,Lead
5046,10/10/2011,Bill,Contact
5046,10/11/2011,Bill,Contact
5046,10/14/2011,Bill,Contact
5046,10/17/2011,Bill,Contact
5046,10/19/2011,Bill,Quote
5046,10/20/2011,Bill,Win
5047,10/21/2011,Jane,Lead
5047,10/26/2011,Jane,Contact
5047,10/27/2011,Jane,Contact
5047,10/28/2011,Jane,Contact
5047,11/2/2011,Jane,No Quote
5047,11/3/2011,Jane,Lose
5048,11/4/2011,Bob,Lead
5048,11/9/2011,Bob,Contact
5048,11/16/2011,Bob,No Quote
5048,11/17/2011,Bob,Lose
5049,11/18/2011,Mary,Lead
5049,11/21/2011,Mary,Contact
5049,11/23/2011,Mary,Contact
5049,11/24/2011,Mary,Contact
5049,11/29/2011,Mary,Contact
5049,11/30/2011,Mary,No Quote
5049,12/1/2011,Mary,Lose
5050,12/2/2011,Bill,Lead
5050,12/5/2011,Bill,Contact
5050,12/9/2011,Bill,Contact
5050,12/12/2011,Bill,Contact
5050,12/14/2011,Bill,No Quote
5050,12/15/2011,Bill,Lose
5051,12/16/2011,Jane,Lead
5051,12/21/2011,Jane,Contact
5051,12/22/2011,Jane,Contact
5051,12/23/2011,Jane,Contact
5051,12/27/2011,Jane,Contact
5051,12/28/2011,Jane,No Quote
5051,12/29/2011,Jane,Lose
5052,12/30/2011,Bob,Lead
5052,1/2/2012,Bob,Contact
5052,1/3/2012,Bob,Contact
5052,1/5/2012,Bob,Contact
5052,1/6/2012,Bob,Contact
5052,1/9/2012,Bob,Contact
5052,1/11/2012,Bob,Quote
5052,1/12/2012,Bob,Lose
5053,1/13/2012,Mary,Lead
5053,1/16/2012,Mary,Contact
5053,1/17/2012,Mary,Contact
5053,1/18/2012,Mary,Contact
5053,1/19/2012,Mary,Contact
5053,1/23/2012,Mary,Contact
5053,1/24/2012,Mary,Contact
5053,1/25/2012,Mary,Quote
5053,1/26/2012,Mary,Lose
5054,1/27/2012,Bill,Lead
5054,1/30/2012,Bill,Contact
5054,2/3/2012,Bill,Contact
5054,2/6/2012,Bill,Contact
5054,2/8/2012,Bill,No Quote
5054,2/9/2012,Bill,Lose
5055,2/10/2012,Jane,Lead
5055,2/17/2012,Jane,Contact
5055,2/20/2012,Jane,Contact
5055,2/22/2012,Jane,No Quote
5055,2/23/2012,Jane,Lose
5056,2/24/2012,Bob,Lead
5056,3/1/2012,Bob,Contact
5056,3/7/2012,Bob,No Quote
5056,3/8/2012,Bob,Lose
5057,3/9/2012,Mary,Lead
5057,3/12/2012,Mary,Contact
5057,3/13/2012,Mary,Contact
5057,3/14/2012,Mary,Contact
5057,3/15/2012,Mary,Contact
5057,3/16/2012,Mary,Contact
5057,3/21/2012,Mary,Quote
5057,3/22/2012,Mary,Lose
5058,3/23/2012,Bill,Lead
5058,3/27/2012,Bill,Contact
5058,3/28/2012,Bill,Contact
5058,3/30/2012,Bill,Contact
5058,4/2/2012,Bill,Contact
5058,4/4/2012,Bill,No Quote
5058,4/5/2012,Bill,Lose
5059,4/6/2012,Jane,Lead
5059,4/9/2012,Jane,Contact
5059,4/10/2012,Jane,Contact
5059,4/12/2012,Jane,Contact
5059,4/18/2012,Jane,No Quote
5059,4/19/2012,Jane,Lose
5060,4/20/2012,Bob,Lead
5060,4/30/2012,Bob,Contact
5060,5/2/2012,Bob,No Quote
5060,5/3/2012,Bob,Lose
5061,5/4/2012,Mary,Lead
5061,5/7/2012,Mary,Contact
5061,5/9/2012,Mary,Contact
5061,5/15/2012,Mary,Contact
5061,5/16/2012,Mary,No Quote
5061,5/17/2012,Mary,Lose
5062,5/18/2012,Bill,Lead
5062,5/25/2012,Bill,Contact
5062,5/28/2012,Bill,Contact
5062,5/29/2012,Bill,Contact
5062,5/30/2012,Bill,No Quote
5062,5/31/2012,Bill,Lose
5063,6/1/2012,Jane,Lead
5063,6/6/2012,Jane,Contact
5063,6/12/2012,Jane,Contact
5063,6/13/2012,Jane,No Quote
5063,6/14/2012,Jane,Lose
5064,6/15/2012,Bob,Lead
5064,6/18/2012,Bob,Contact
5064,6/19/2012,Bob,Contact
5064,6/20/2012,Bob,Contact
5064,6/21/2012,Bob,Contact
5064,6/26/2012,Bob,Contact
5064,6/27/2012,Bob,No Quote
5064,6/28/2012,Bob,Lose
5065,6/29/2012,Mary,Lead
5065,7/2/2012,Mary,Contact
5065,7/3/2012,Mary,Contact
5065,7/4/2012,Mary,Contact
5065,7/5/2012,Mary,Contact
5065,7/6/2012,Mary,Contact
5065,7/9/2012,Mary,Contact
5065,7/10/2012,Mary,Contact
5065,7/11/2012,Mary,Quote
5065,7/12/2012,Mary,Lose
5066,7/13/2012,Bill,Lead
5066,7/16/2012,Bill,Contact
5066,7/17/2012,Bill,Contact
5066,7/18/2012,Bill,Contact
5066,7/20/2012,Bill,Contact
5066,7/23/2012,Bill,Contact
5066,7/24/2012,Bill,Contact
5066,7/25/2012,Bill,No Quote
5066,7/26/2012,Bill,Lose
5067,7/27/2012,Jane,Lead
5067,7/30/2012,Jane,Contact
5067,7/31/2012,Jane,Contact
5067,8/1/2012,Jane,Contact
5067,8/3/2012,Jane,Contact
5067,8/7/2012,Jane,Contact
5067,8/8/2012,Jane,No Quote
5067,8/9/2012,Jane,Lose
5068,8/10/2012,Bob,Lead
5068,8/13/2012,Bob,Contact
5068,8/14/2012,Bob,Contact
5068,8/15/2012,Bob,Contact
5068,8/16/2012,Bob,Contact
5068,8/17/2012,Bob,Contact
5068,8/20/2012,Bob,Contact
5068,8/22/2012,Bob,Quote
5068,8/23/2012,Bob,Win
5069,8/24/2012,Mary,Lead
5069,8/28/2012,Mary,Contact
5069,9/3/2012,Mary,Contact
5069,9/5/2012,Mary,No Quote
5069,9/6/2012,Mary,Lose
5070,9/7/2012,Bill,Lead
5070,9/10/2012,Bill,Contact
5070,9/13/2012,Bill,Contact
5070,9/14/2012,Bill,Contact
5070,9/17/2012,Bill,Contact
5070,9/18/2012,Bill,Contact
5070,9/19/2012,Bill,No Quote
5070,9/20/2012,Bill,Lose
5071,9/21/2012,Jane,Lead
5071,9/27/2012,Jane,Contact
5071,9/28/2012,Jane,Contact
5071,10/3/2012,Jane,No Quote
5071,10/4/2012,Jane,Lose
5072,10/5/2012,Bob,Lead
5072,10/9/2012,Bob,Contact
5072,10/11/2012,Bob,Contact
5072,10/15/2012,Bob,Contact
5072,10/16/2012,Bob,Contact
5072,10/17/2012,Bob,Quote
5072,10/18/2012,Bob,Lose
5073,10/19/2012,Mary,Lead
5073,10/23/2012,Mary,Contact
5073,10/26/2012,Mary,Contact
5073,10/30/2012,Mary,Contact
5073,10/31/2012,Mary,No Quote
5073,11/1/2012,Mary,Lose
5074,11/2/2012,Bill,Lead
5074,11/7/2012,Bill,Contact
5074,11/8/2012,Bill,Contact
5074,11/13/2012,Bill,Contact
5074,11/14/2012,Bill,No Quote
5074,11/15/2012,Bill,Lose
5075,11/16/2012,Jane,Lead
5075,11/22/2012,Jane,Contact
5075,11/28/2012,Jane,No Quote
5075,11/29/2012,Jane,Lose
5076,11/30/2012,Bob,Lead
5076,12/3/2012,Bob,Contact
5076,12/4/2012,Bob,Contact
5076,12/7/2012,Bob,Contact
5076,12/10/2012,Bob,Contact
5076,12/12/2012,Bob,Quote
5076,12/13/2012,Bob,Lose
5077,12/14/2012,Mary,Lead
5077,12/18/2012,Mary,Contact
5077,12/20/2012,Mary,Contact
5077,12/24/2012,Mary,Contact
5077,12/26/2012,Mary,No Quote
5077,12/27/2012,Mary,Lose
5078,12/28/2012,Bill,Lead
5078,12/31/2012,Bill,Contact
5078,1/1/2013,Bill,Contact
5078,1/3/2013,Bill,Contact
5078,1/4/2013,Bill,Contact
5078,1/7/2013,Bill,Contact
5078,1/8/2013,Bill,Contact
5078,1/9/2013,Bill,No Quote
5078,1/10/2013,Bill,Lose
5079,1/11/2013,Jane,Lead
5079,1/14/2013,Jane,Contact
5079,1/15/2013,Jane,Contact
5079,1/21/2013,Jane,Contact
5079,1/23/2013,Jane,No Quote
5079,1/24/2013,Jane,Lose
5080,1/25/2013,Bob,Lead
5080,1/28/2013,Bob,Contact
5080,2/1/2013,Bob,Contact
5080,2/6/2013,Bob,No Quote
5080,2/7/2013,Bob,Lose
5081,2/8/2013,Mary,Lead
5081,2/11/2013,Mary,Contact
5081,2/12/2013,Mary,Contact
5081,2/14/2013,Mary,Contact
5081,2/18/2013,Mary,Contact
5081,2/20/2013,Mary,No Quote
5081,2/21/2013,Mary,Lose
5082,2/22/2013,Bill,Lead
5082,2/25/2013,Bill,Contact
5082,2/26/2013,Bill,Contact
5082,2/27/2013,Bill,Contact
5082,3/4/2013,Bill,Contact
5082,3/5/2013,Bill,Contact
5082,3/6/2013,Bill,No Quote
5082,3/7/2013,Bill,Lose
5083,3/8/2013,Jane,Lead
5083,3/11/2013,Jane,Contact
5083,3/12/2013,Jane,Contact
5083,3/14/2013,Jane,Contact
5083,3/15/2013,Jane,Contact
5083,3/18/2013,Jane,Contact
5083,3/20/2013,Jane,No Quote
5083,3/21/2013,Jane,Lose
5084,3/22/2013,Bob,Lead
5084,3/25/2013,Bob,Contact
5084,3/26/2013,Bob,Contact
5084,3/29/2013,Bob,Contact
5084,4/1/2013,Bob,Contact
5084,4/3/2013,Bob,No Quote
5084,4/4/2013,Bob,Lose
5085,4/5/2013,Mary,Lead
5085,4/8/2013,Mary,Contact
5085,4/9/2013,Mary,Contact
5085,4/10/2013,Mary,Contact
5085,4/12/2013,Mary,Contact
5085,4/15/2013,Mary,Contact
5085,4/17/2013,Mary,Quote
5085,4/18/2013,Mary,Lose
5086,4/19/2013,Bill,Lead
5086,4/25/2013,Bill,Contact
5086,4/26/2013,Bill,Contact
5086,5/1/2013,Bill,No Quote
5086,5/2/2013,Bill,Lose
5087,5/3/2013,Jane,Lead
5087,5/6/2013,Jane,Contact
5087,5/8/2013,Jane,Contact
5087,5/9/2013,Jane,Contact
5087,5/13/2013,Jane,Contact
5087,5/15/2013,Jane,No Quote
5087,5/16/2013,Jane,Lose
5088,5/17/2013,Bob,Lead
5088,5/20/2013,Bob,Contact
5088,5/21/2013,Bob,Contact
5088,5/23/2013,Bob,Contact
5088,5/29/2013,Bob,No Quote
5088,5/30/2013,Bob,Lose
5089,5/31/2013,Mary,Lead
5089,6/3/2013,Mary,Contact
5089,6/4/2013,Mary,Contact
5089,6/6/2013,Mary,Contact
5089,6/7/2013,Mary,Contact
5089,6/10/2013,Mary,Contact
5089,6/12/2013,Mary,Quote
5089,6/13/2013,Mary,Win
5090,6/14/2013,Bill,Lead
5090,6/19/2013,Bill,Contact
5090,6/21/2013,Bill,Contact
5090,6/24/2013,Bill,Contact
5090,6/25/2013,Bill,Contact
5090,6/26/2013,Bill,No Quote
5090,6/27/2013,Bill,Lose
5091,6/28/2013,Jane,Lead
5091,7/1/2013,Jane,Contact
5091,7/3/2013,Jane,Contact
5091,7/4/2013,Jane,Contact
5091,7/5/2013,Jane,Contact
5091,7/9/2013,Jane,Contact
5091,7/10/2013,Jane,Quote
5091,7/11/2013,Jane,Lose
5092,7/12/2013,Bob,Lead
5092,7/22/2013,Bob,Contact
5092,7/24/2013,Bob,No Quote
5092,7/25/2013,Bob,Lose
5093,7/26/2013,Mary,Lead
5093,7/29/2013,Mary,Contact
5093,7/31/2013,Mary,Contact
5093,8/2/2013,Mary,Contact
5093,8/5/2013,Mary,Contact
5093,8/6/2013,Mary,Contact
5093,8/7/2013,Mary,No Quote
5093,8/8/2013,Mary,Lose
5094,8/9/2013,Bill,Lead
5094,8/12/2013,Bill,Contact
5094,8/13/2013,Bill,Contact
5094,8/16/2013,Bill,Contact
5094,8/19/2013,Bill,Contact
5094,8/20/2013,Bill,Contact
5094,8/21/2013,Bill,No Quote
5094,8/22/2013,Bill,Lose
5095,8/23/2013,Jane,Lead
5095,8/27/2013,Jane,Contact
5095,9/2/2013,Jane,Contact
5095,9/3/2013,Jane,Contact
5095,9/4/2013,Jane,No Quote
5095,9/5/2013,Jane,Lose
5096,9/6/2013,Bob,Lead
5096,9/10/2013,Bob,Contact
5096,9/11/2013,Bob,Contact
5096,9/16/2013,Bob,Contact
5096,9/18/2013,Bob,No Quote
5096,9/19/2013,Bob,Lose
5097,9/20/2013,Mary,Lead
5097,9/23/2013,Mary,Contact
5097,9/24/2013,Mary,Contact
5097,9/27/2013,Mary,Contact
5097,10/2/2013,Mary,Quote
5097,10/3/2013,Mary,Win
5098,10/4/2013,Bill,Lead
5098,10/7/2013,Bill,Contact
5098,10/9/2013,Bill,Contact
5098,10/10/2013,Bill,Contact
5098,10/11/2013,Bill,Contact
5098,10/14/2013,Bill,Contact
5098,10/15/2013,Bill,Contact
5098,10/16/2013,Bill,Quote
5098,10/17/2013,Bill,Win
5099,10/18/2013,Jane,Lead
5099,10/21/2013,Jane,Contact
5099,10/23/2013,Jane,Contact
5099,10/30/2013,Jane,No Quote
5099,10/31/2013,Jane,Lose
5100,11/1/2013,Bob,Lead
5100,11/8/2013,Bob,Contact
5100,11/11/2013,Bob,Contact
5100,11/13/2013,Bob,No Quote
5100,11/14/2013,Bob,Lose
5101,11/15/2013,Mary,Lead
5101,11/27/2013,Mary,No Quote
5101,11/28/2013,Mary,Lose
5102,11/29/2013,Bill,Lead
5102,12/2/2013,Bill,Contact
5102,12/3/2013,Bill,Contact
5102,12/5/2013,Bill,Contact
5102,12/6/2013,Bill,Contact
5102,12/9/2013,Bill,Contact
5102,12/11/2013,Bill,Quote
5102,12/12/2013,Bill,Lose
5103,12/13/2013,Jane,Lead
5103,12/18/2013,Jane,Contact
5103,12/19/2013,Jane,Contact
5103,12/25/2013,Jane,No Quote
5103,12/26/2013,Jane,Lose
5104,12/27/2013,Bob,Lead
5104,12/30/2013,Bob,Contact
5104,12/31/2013,Bob,Contact
5104,1/1/2014,Bob,Contact
5104,1/2/2014,Bob,Contact
5104,1/3/2014,Bob,Contact
5104,1/6/2014,Bob,Contact
5104,1/8/2014,Bob,Quote
5104,1/9/2014,Bob,Win
5105,1/10/2014,Mary,Lead
5105,1/13/2014,Mary,Contact
5105,1/14/2014,Mary,Contact
5105,1/16/2014,Mary,Contact
5105,1/22/2014,Mary,No Quote
5105,1/23/2014,Mary,Lose
5106,1/24/2014,Bill,Lead
5106,1/27/2014,Bill,Contact
5106,1/29/2014,Bill,Contact
5106,1/31/2014,Bill,Contact
5106,2/3/2014,Bill,Contact
5106,2/4/2014,Bill,Contact
5106,2/5/2014,Bill,Quote
5106,2/6/2014,Bill,Win
5107,2/7/2014,Jane,Lead
5107,2/10/2014,Jane,Contact
5107,2/11/2014,Jane,Contact
5107,2/12/2014,Jane,Contact
5107,2/13/2014,Jane,Contact
5107,2/18/2014,Jane,Contact
5107,2/19/2014,Jane,Quote
5107,2/20/2014,Jane,Win
5108,2/21/2014,Bob,Lead
5108,2/25/2014,Bob,Contact
5108,3/4/2014,Bob,Contact
5108,3/5/2014,Bob,No Quote
5108,3/6/2014,Bob,Lose
5109,3/7/2014,Mary,Lead
5109,3/10/2014,Mary,Contact
5109,3/12/2014,Mary,Contact
5109,3/13/2014,Mary,Contact
5109,3/17/2014,Mary,Contact
5109,3/19/2014,Mary,Quote
5109,3/20/2014,Mary,Win
5110,3/21/2014,Bill,Lead
5110,3/27/2014,Bill,Contact
5110,4/1/2014,Bill,Contact
5110,4/2/2014,Bill,No Quote
5110,4/3/2014,Bill,Lose
5111,4/4/2014,Jane,Lead
5111,4/9/2014,Jane,Contact
5111,4/10/2014,Jane,Contact
5111,4/14/2014,Jane,Contact
5111,4/15/2014,Jane,Contact
5111,4/16/2014,Jane,Quote
5111,4/17/2014,Jane,Lose
5112,4/18/2014,Bob,Lead
5112,4/21/2014,Bob,Contact
5112,4/22/2014,Bob,Contact
5112,4/24/2014,Bob,Contact
5112,4/29/2014,Bob,Contact
5112,4/30/2014,Bob,Quote
5112,5/1/2014,Bob,Win
5113,5/2/2014,Mary,Lead
5113,5/5/2014,Mary,Contact
5113,5/6/2014,Mary,Contact
5113,5/7/2014,Mary,Contact
5113,5/8/2014,Mary,Contact
5113,5/9/2014,Mary,Contact
5113,5/13/2014,Mary,Contact
5113,5/14/2014,Mary,Quote
5113,5/15/2014,Mary,Lose
5114,5/16/2014,Bill,Lead
5114,5/21/2014,Bill,Contact
5114,5/22/2014,Bill,Contact
5114,5/23/2014,Bill,Contact
5114,5/26/2014,Bill,Contact
5114,5/27/2014,Bill,Contact
5114,5/28/2014,Bill,No Quote
5114,5/29/2014,Bill,Lose
5115,5/30/2014,Jane,Lead
5115,6/2/2014,Jane,Contact
5115,6/4/2014,Jane,Contact
5115,6/5/2014,Jane,Contact
5115,6/6/2014,Jane,Contact
5115,6/10/2014,Jane,Contact
