title,date,rating,isEdited,review,userName,developerResponse
FRAUDS!  STAY AWAY FROM MONEYLION!,2020-07-23 07:15:14,1,False,"MoneyLion fraudulently opened two separate accounts in my name with two different social security numbers.   They opened a $500 Credit builder PLUS loan in my name without my knowledge, authorization, consent or approval. They forced me to pay that loan off even after I filed a police report which backed my identity theft claim, complaints with the CFPB, BBB, The NY State Attorney General’s office, and the FTC.  They reported this to the credit report which is how I found out about it.  The bank they had on file is not a bank I have ever done business with.  They are SCAM artists and they are frauds.  DO NOT do any business with them.  They are nearly impossible to talk to on the phone, they don’t care that they have fraudulent accounts, and refuse to follow the laws on the United States to correct this.  

They owe me a lot of money and they said that they already paid it.  That’s a lie.  Then they said their “engineers” had to review and release the $375 escrow funds (that I never opened in the first place but was required to pay off) within 5 days, yet the haven’t.  I want a refund of all monies paid to protect my credit because they are full of crap.  This company is a bunch of scam artists and their call center is based out of Malaysia.  They have no regard for identity theft victims or their customers.  STAY AWAY FROM MONEYLION!  You will regret this!

They need to be SHUT DOWN by the government!",Labs1980,"{'id': 16836362, 'body': 'We apologize to hear about your experience with MoneyLion. We would like to help resolve your concerns but are unable to locate your account to reach out to you. Please use the form linked below to fill out and we will contact you directly.\xa0https://moneylioncomplaints.zendesk.com/hc/en-us/requests/new', 'modified': '2020-07-23T16:40:18Z'}"
DON’T USE APP!!!!!!!!!!!!,2021-01-28 23:49:07,5,False,"This is the worse app ever! I tried to give it a chance after the first major mistake. But after having to deal with it again the next month, shows me it’s not worth it! The first incident was when I checked my repayment date, I noticed  it had changed. I get paid once a month so my repayment is on the next pay period, yet the app changed the date to middle of the month! When I checked why it changed it was bc my minor child’s bank acct had a deposit of money. Her acct is linked to mine for management reasons only! I do not have access to her monies. Her acct is under her social and her name. Money lion initiated a repayment from her acct without authorization! That’s stealing! That’s not the acct or debit card I signed up with and they should not be able to steal money from other peoples accts just bc they’re linked! I called for help and I had to delete all accts from app and then re-link and verify with my acct so it would only draft the repayment from MY ACCT.  I was told the problem was solved. Then this month the same thing happened! 1 Star rating I’m deleting after I pay them back! Horrible experience!",Bexarini,"{'id': 21096597, 'body': 'We sincerely apologize for the experience you’ve had with your account. At your earliest convenience please provide us with some further information by filling out this form: https://moneylioncomplaints.zendesk.com/hc/en-us/requests/new. Once completed, a Customer Advocacy representative will reach out to you directly to resolve your issue!', 'modified': '2021-02-16T20:10:34Z'}"
If it was legitimate....,2019-01-15 11:27:03,1,False,"So everything was totally great, then my monthly payments weren’t coming out each week. I called numerous times the first time they didn’t go through and couldn’t get through. When I finally did they tell me I was in “default collection” just 2 days past my due date because my bank account number to take the payments out were wrong (but not wrong to put the money in my account mind you) so they make up a “new payment plan” and instead of 52 weeks pay off I have now a 12 week pay off as “punishment”. I negotiated to 16 telling him I put the right account number in (he even read off the right number to me) and begrudgingly accepted. Then I wait the next week for the payments to come out and they don’t. Instead I get an email this time (the first time I had to track them down) and it says “broken promises” as the headline and that my account number was incorrect and they couldn’t take the payment out. This was after 56 minutes on the phone (a recorded line) with a rep to fix my “issue” the first time. 
I knew the terms and agreements I read it I knew I’d have to pay that wasn’t the issue, but this company is literally pushing people into paying more and lying about how they’re doing it. It’s a shame because if they’d done it on the up and up they could make a ton of money with good reviews and a great business model.",dexdave,"{'id': 6869864, 'body': ""Hi there! We appreciate you taking the time to leave us your feedback but we are sorry to hear that there may have been some issue on attempting to get the errors on your account information resolved. We always want to make sure that we provide exception world-class customer service to each of our customers. If you would like for us to double check that information for you, please send a brief summary of your situation as well as your contact information via email over to support@moneylion.com and we'd be more than happy to assist you and take a look at your account information once again."", 'modified': '2019-01-16T17:24:48Z'}"
IF YOU NEED ADVICE Before getting this app,2019-04-07 17:58:04,4,False,"When i first got this bank i was excited i was accepted for MoneyLion after i entered all my personal info i was given access to the app they ask you if you want to join the MEMBERSHIP they give you different pay options on how to pay it ,they even ask you to link your bank account you already have . DONT BE WORRIED !!:) they’re a bank they need this stuff to help you operate. You can get access to a 500$ loan . I couldn’t get the loan right away which made me think this was dumb but it said i was on a lock down sorta thing . You have to check into the app every day to unlock the 500$ loan for about 30 days and after it’s GUARANTEED I PROMISE YOU how you spend it is in you just remember ITS A LOAN IT AFFECTS YOUR CREDIT AND HELPS BUILD CREDIT. So the MEMBERSHIP fee goes into your investments account I’ve had this for about 2 and half months and I have 200$ in my investment account from getting 1$ every day i check in the app and i also have a direct deposit set up to my card i don’t have access to instachash even though i do have money going into my account but i know this app is a good way for you to save money in the years coming",before you download,
Buggy and disappointing,2020-08-17 15:24:51,3,False,"There is consistently lots of bugs in this app and I’ve had it for over a year now. I pay for a MoneyLion premium membership and the credit advice feature has never worked for me. It freezes up the app after answering the security questions. The flow of the app is not logical. Making the smallest changes like an address change is even a difficult process. All MoneyLion users were recently forced to switch from MoneyLion checking to a Roar Money account. In doing so, we had to let our MoneyLion accounts close after opening the Roar Money account. We now pay a monthly fee as well. I used to schedule money transfers from my Wells Fargo account to MoneyLion twice a month, and I tried to link my WF account to this new Roar Money account and it shows that it does not qualify for transfers with WF. I’m super disappointed. I really liked my MoneyLion account and now I’m paying for an account I can’t even make transfers to or find an ATM for. It’s a hassle. I’m trying to close the RoarMoney account I just opened and I can’t find where to do that, just like everything else in the app. There is not a phone number to call or a chat to get help. You have to fill out a stupid help form on their website for every little thing.",Haley Bug,"{'id': 17385891, 'body': 'We apologize to hear about your experience with MoneyLion. We would like to help resolve your concerns but are unable to locate your account to reach out to you. Please use the form linked below to fill out and we will contact you directly.\xa0https://moneylioncomplaints.zendesk.com/hc/en-us/requests/new', 'modified': '2020-08-19T21:12:04Z'}"
THIEVES! STAY AWAY,2018-11-30 01:44:09,1,False,This company is absolute garbage. I took out the 500 dollar loan and paid it off early. I called to cancel my membership and ask to liquidate my investment account. The guy said I will have my money in 7-10 business days. I call them 7 business days later to check up on my money. They say that no liquidation request was made (I made sure when talking to the guy originally that it would be liquidated and in my account in 7-10 business days). So I asked to speak to a supervisor who said he personally submitted the liquidation request and I would receive my money in 7-10 business days. I call them 7 business days later to check on the status and they tell me that the liquidation is in process and the money should be in my account in 3-5 business days. So I wait 5 business days and call today. The guy said that the liquidation is still in process and doesn’t know what is going on but he will send a message to the higher ups to see what is going on. It has now been a month since I originally canceled my account and still haven’t gotten my money. They’re just giving me the run-around like the other reviews I have read stated. Do yourself a favor and stay away from this trash company. I am going to report them to the correct agencies and I am going to take legal action. This is theft. Plain and simple. Stay away.,gregfirestone,"{'id': 6796037, 'body': 'Hey there gregfirestone! We appreciate you taking to time to let us know your feedback. If any questions arise or assistance is needed, feel free to contact us at 1-888-704-6970.', 'modified': '2019-01-11T20:03:39Z'}"
Subpar in comparison,2020-02-15 06:10:47,1,True,"Update: I wasn’t impressed with MoneyLion at all. A complete rip off. The latest annoyance with this app is it won’t let you remove any bank account/card information even without a membership. I’ve called you can’t get through and I’ve emailed and of course no response.  I would think twice before downloading the app!!!!!

Compared to other cash advance apps (Brigit & Earnin) MoneyLion is a joke.  With  Brigit you pay $10 a month and I can borrow 250 biweekly.  It’s not instant but within a day or two I get the money.  Earnin there isn’t a membership fee you just tip what you feel is right ... I can get it into my account instantly and borrow upto 1000 a month. MoneyLion has you pay a membership fee to borrow... 10 dollars ok cool. Then it takes 3-5 days for the money to hit your account. Ok that’s not the quick help you’re possibly hoping for but if you pay another 5 dollars per amount you borrow it can be instant. Ok fine but you’re already losing to the other two apps now. Then right before you get the cash advance they want you to tip. I’m sorry I’m lost what the heck am I tipping for???? I’ve already paid a membership fee and a fee so I can see it before 5 days.  Then if you chose not to tip you get multiple other messages about how you need to.  If you are looking for cash advances I wouldn’t go with MoneyLion go for the other two.",haldignneskgf,"{'id': 13315699, 'body': ""Hi! We just want to inform you that tips are absolutely optional, and do not impact eligibility or availability whatsoever. Pay what you think is fair, or don't pay at all, it's up to you. Tips are what help us cover the high costs of administering Instacash at 0% APR for the large and growing MoneyLion community. Rest assured that we're working to make improvements to our products and services. If you are in need of any assistance, use the link below to schedule a callback time that's convenient for you: https://moneylion.youcanbook.me/ Thank you"", 'modified': '2020-02-05T18:47:53Z'}"
Can’t Even Create An Account,2021-02-05 20:34:01,1,False,"I have been trying all day. Read all the terms and conditions dotted all of my i’s and crossed every T however I keep getting the same message every single time. “ Oops Sorry we can not create a Money Lion account at this time. Try again later. “ There is no formal customer service for your customers to contact for help with that said I really don’t feel completely comfortable moving forward with opening the account. When I researched the error I am getting I stumbled upon a discussion forum of recent conversations from your current customers that are very dissatisfied for various reasons. Money not received or paid, can’t access their money, app not functioning, debit cards rejected and no customer support. These are much unlike the reviews I had read prior to the attempt at opening an account.. I think in my situation I am just going to be thankful that for whatever reason this app didn’t download and I’m thankful that I stumbled into the discussion forum that I did. I would encourage people that are considering the thought of downloading this app to search out reviews from true customers not reviews that can be purchased. I would also say to the developers that to have a financial app of this type without no support at all is irresponsible on your part as the company.",cmkirkpatrick,"{'id': 20929594, 'body': 'Dear Customer,\n\nThank you for taking the time to contact us here at MoneyLion Customer Care! We are eager to help and want to resolve your issue as quickly as possible, but we are having some difficulty verifying your identity. Please provide us with the following information so that we can verify and pull up your account information:\n\n- First & Last name\r\n- Your date of birth\r\n- Last four digits of your social security number\r\n- Email address associated with your account\n\nThank you!\r\nMoneyLion Customer Care Specialist', 'modified': '2021-02-08T13:43:44Z'}"
"Great informational App, LITERAL TRASH as a bank. Using Dave or anything else here on out.",2019-10-30 03:08:46,1,False,"Image being told by a “top tier” banking application that had your social, phone number, email, AND banking information that you are in fact not the person you claim to be. MoneyLion displays itself as the go-to app for all of your banking needs, but increasingly falls short of expectations. After being denied the “Instacash” offer, I was told I would have to wait 7 days to even be approved for cash advances, but it failed to tell me where I went wrong. Was it my lack of information, or did something go wrong with the bank it already approved? I’ll never know, and with my bills coming up in 5 days, it’ll be too little, too late. Image facing punitive measures for a failure on your banks part. If this were any other bank, I would withdraw my money, and take it somewhere else, so that’s what intend to do. If you can’t help when you’re needed like you said you could, what is your point of being on my phone? Oh AND you have to pay 10 dollars, on top of getting only 50 for the first advance, so you basically only get 40 dollars. You’ve got your policies OUT OF ORDER. I can’t wait for something better to come along and destroy you because this is false advertising / A lie by omission at its finest. You’re useless.",Sir Christopher Curry,
Fake it till you make it,2019-07-08 15:51:39,1,False,"At first a lot of the options provided to you seem really attractive at first and they offer cool things such as points for having a simple checking account. once you actually have the app and accounts with moneylion it feels like you're being neglected as if there's no one there to assist or help you when the app doesn't work as intended (which is a majority of the time) i've tried doing simple things such as withdrawing a simple $50 from my investment account. It always denies the request and says try again later, and i've been trying for weeks now while they've been syphoning money out of my bank account for plus membership. when you call support you'll be on hold for a good 45 minutes until you get a human if the automated system doesn't hang up on you for selecting certain options as it did when i called in 5 times. Live chat seems to be hidden on the website as if they don't want you to find it. Whilst also having multiple customer service numbers to almost seem it's more of a labyrinth of hoops to jump through opposed to actually helping you. Save yourself and don't fall for the intriguing offers and rewards because once they snag you as a client they'll ignore you as if they don't value you using their services.",Synkix,"{'id': 9689980, 'body': ""Hi Synkix, sorry to hear you're not satisfied. We're always happy to get feedback from our customers and improve our product. Please feel free to let us know how we can improve via email support@moneylion.com."", 'modified': '2019-07-16T14:56:53Z'}"
I love MoneyLion😍,2018-07-19 01:00:16,5,False,"I absolutely love MoneyLion it is a legitimate resource for saving and a legitimate source for a loan!! I started using MoneyLion in May and have already been able to save almost 300$ now I know 300 doesn’t sound like much but considering the fact the my savings account would always show zero I count this as a win, also in addition to the investment account, I was able to get a 500 dollar loan the next business day with NO hassle, of course you need proof of income and ID but that’s pretty much all they asked for so as long as you have a legitimate bank account a source of income with direct deposit and A government issued ID you will get a loan!!! And they are easy to payback my loan only charges me about 19 dollars every payday now this app does cost 79 a month but 50 dollars of that automatically goes into your investment account so it’s your money it’s kind of like a forced savings which I don’t think is horrible, and you get one dollar everyday that you login so the app is really free if you are logical lol but other than that don’t be hesitant to give it a try!!! Good luck",TobiasT94,
Run Away,2019-07-18 03:08:37,1,False,"I have no idea how they have so many 5 star reviews... other than they must be somehow paying people to generate them. This company has the worst customer service I’ve ever experienced. I’ve called them over a dozen times to address issues with my account after countless emails fail to resolve anything. First of all, your emails will be replied to from a generic account so you literally can’t follow up with the same person. Also, no one has ever responded to my replies to a request for more info on an issue. So I will email about something, get a reply, then respond and literally no response thereafter. Every time. Also, calls to sales reps always seem to go well, but when they escalate you may or may not hear back from a manager. I was told that there was clearly no direct deposit pattern even though I have a direct deposit of $4200 every month on the last day of the month happen. How that isn’t clear I do not know. And that was a managers response. The poor people at the call center, good luck if you can find that phone number, are genuinely good people but given no power by a company that screws its customers. Their app is also an atrocious excuse to upsell you on their add partners. You can’t check your balance until you’ve clicked through a bunch of 3rd party offers. Again, run.",dalmralm10,"{'id': 9729312, 'body': ""Sorry to hear you're having a hard time reaching us. We recently switched over to a new customer support platform, so filing a ticket at www.help.moneylion.com is the quickest way to reach us. We look forward to hearing from you! "", 'modified': '2019-07-18T13:57:49Z'}"
Worth it if you really need the loan,2020-05-31 20:19:01,3,False,Did the credit builder plus loan twice after paying. Off the $500 loan it took two weeks to get funds from the reserve account. Everytime after once Being on hold for 30-40 minutes. Told the same thing that it was just process on that day. Recently just paid off $1000 credit plus loan now shows i owe two missed payments made two weeks ago from my account and by card. Errors all i get when i try to submit payment using my cards on file. Saying to contact my bank. What they dont tell is the loan isnt the full amount. Lucky to get at $175 then you paying them payments. Once paid the full loan amount you get reserve funds credit to your account. Basically I apply for $1000 and get $175 and the $825 will get once the full $1000 is paid plus APR fees and membership fees. Contact support takes for every by phone. And thru emails after a day your ticket request is canceled or closed. Only report on my credit shows every time they didnt take a payment from the account on file. Shows as missed payments on credit reports. Leaving more negative feed back and yet to see anything showing i paid them off.,Beautifull30,"{'id': 15752455, 'body': ""Hi there, Beautifull30. We apologize to hear about your experience with MoneyLion, however, we would like to provide better information. We do inform our customers on how much they are going to receive and the amount that will be held on their Credit Reserve Amount on the onboarding part of our Credit Builder Plus loan process. Additionally, more information is provided on our Help Center (Help.moneylion.com) on how the Credit Builder Plus Membership and Loan works. To provide assistance with our payments and credit reporting concerns, we welcome you to use the link below to schedule a callback time that's convenient for you: https://moneylion.youcanbook.me/ Thank you."", 'modified': '2020-06-03T13:02:55Z'}"
Worst Loan EVER !!,2020-04-01 14:59:29,1,False,"They approve you for credit builder plus, but give you only a portion of that money and keep the rest in “reserve”. Once you pay the WHOLE $1000 plus interest THEN you can get what they’re holding from you. What they dont tell you is it takes 5 business days to get that money transferred after you pay off your loan which takes 5-7 business days to clear might i add before the loan is paid off. They hold your money for 2 weeks after paying off a loan. You email them and no one can give you a good answer. Then they charge the membership fee of $4.6 weekly if you have a loan out with them (its required). Ive never had such difficulties with a loan company actually giving me my money. I paid off my loan going on 2 weeks and i have yet to get the money i had in reserves myself. If you need a loan. Go somewhere else. Anywhere else. They couldnt possibly hit you with this many problems and fees.

Update - Called to ask why i STILL dont have my money from my reserve that i paid my loan off 2 weeks ago. Their response was that cancelling my MoneyLion Plus ($4.60 weekly) slowed down the process and now its going to take ANOTHER 2-4 business days to trasnfer funds. Ive NEVER heard of a company coming up with so many excuses to hold on to your money. Once again DONT GET A LOAN FROM THEM!!!",Romo210,"{'id': 14397115, 'body': ""Hi there, Romo210! We're sorry to hear about your experience with MoneyLion. My name is Aron and you can schedule an appointment with me to look over your account and help resolve your issue. Please use the link below to schedule a callback time that's convenient for you: https://moneylion.youcanbook.me/ Thank you."", 'modified': '2020-04-01T20:18:56Z'}"
Moneylion Membership,2019-12-28 18:06:29,5,False,"After carefully reviewing, and downloading the moneylion app, it has come to my attention that money lion will still charge you for the membership fees, even if the original bank account you linked up to money lion is no longer active. I have been having problems with this app for months, just dragging my credit score down. My original score was excellent, and now it has dropped to being fair.. it’s all because of the way moneylion handles its payments. It’s hard to get in contact with this company, and even harder trying to pay them back.  Do yourself a favor and save yourself the troubles. They offer you a $500 loan, and the membership is supposed to help you with your credit, yet it’s very difficult to continue to make payments. The app won’t even allow me to take out my old bank account information, and everytime I log into the app, it will tell me how my account is currently suspended, yet I still have access to the app. I’m very confused, and I do not want to be apart of money lion anymore.",QuazzyMoto29i,
