title,rating,isEdited,userName,date,review,developerResponse
1 star too many,1,FALSE,OpieNovak,6/7/2021 19:27,"I have been using Varo Bank for about a month now. The first two weeks went fine, no real issues. I got all of my funds transferred into their bank, and then they froze my account, stating that there was a problem with their system that should be cleared up by the end of the day. So I waited. 2 days later, I still have no access to my money. I call again, each time with over an hour hold time. I get another rep that tells me the same thing, almost word for word like it’s memorized. You’ll have your funds by the end of today, tomorrow at the latest. I wait a couple more days, spend an hour and a half on hold. Same memorized speech. I’m leaving for a work trip in an hour with a $20 bill and a prayer that they will fix it so I can get home. My mortgage is past due, bills are stacking up, and all my money is controlled by Varo. After explaining this to the rep, he just hung up on me. I’m completely at a loss here with no money, and now am seeking legal action to obtain my funds and close that account. Oh yeah, I can’t even close my account, did I mention that? This company has cleaned out all of my funds overnight, and I’ve had it. Stay away!","{'id': 23276078, 'body': ""Hello, we're sorry to hear about your experience and would like to take a look into it, ASAP! We're unable to locate your account with your username, so please send an email to\xa0appreview@varomoney.com\xa0so we can assist?"", 'modified': '2021-06-09T02:40:56Z'}"
Missing funds,2,FALSE,loblolashaye,12/8/2020 13:45,"Yesterday afternoon I cash out money from my cash app to my Varo debit card and went to check my account and the money was NOT THERE ! Then Varo posted on the same day that they are experiencing technical issues with app and your balance might not be correct. I waited all day for the issue to be resolved and it wasn’t. I called Varo this morning and spoke to a representative and she tells me the supervisor is taking care of the problem and I should receive a email by the end of today about my funds and my account. Remember, this has been like this since yesterday and yesterday was my birthday. If I was really dependent on this money or had a emergency I would have been screwed because of Varo issues. Once this problem is resolved, I will deactivate my account Varo and move on to a better company. Varo was a great app to use til the New Varo debit cards came out and the new Varo app. Varo you have officially lost a long time customer because of lack of communication and the long waiting period for my funds to be shown on my account. I will NOT recommend Varo to any friends or family.","{'id': 19654317, 'body': ""We apologize sincerely for the frustrations and inconvenience the recent technical difficulties has caused you. We're working as quickly as possible to resolve any incorrect balance shown on your account and the correct Cash App transfer amounts should be reflected shortly. If you have any additional questions or concerns, please feel free to contact our support team by phone or email at support@varomoney.com. "", 'modified': '2020-12-09T19:30:03Z'}"
I wish I could love it like I used to,2,FALSE,Pericsely89,2/11/2021 0:43,"I’ve been with varo for almost 3 years and loved every minute of the experience with the old Varo money!, every notification, the customer service, and of course timely direct deposits. Imagine my surprise when I crossed over to the “New & So called Improved” Varo bank :(.. I don’t get none of my notifications anymore for my transactions and that’s a huge thing for me. Not knowing when things come or go and then dealing with Calling customer service, being on hold for hours, just to be told “I’m not sure why your notifications are not working, but they should be”.. DUH!!, I know they should be but for whatever reason ever since crossing over to this new bank, everything has taken a downfall which made me start moving my money back to my chime account. Please get it together Varo so I could come back to you. I’m obviously not the only experiencing this because if you look at other reviews other users have the same problem!!, New customers may not have this issue, but people who’ve had to transfer over surely do!!! Please fix this","{'id': 21021176, 'body': ""We're really sorry to hear you're upset about the switch to Varo Bank. As we've just received our national banking charter, this enabled us to become a bank where we can now offer our own accounts along with other new and improved features. Varo Money accounts are provided by The Bancorp Bank so the switch is\xa0necessary\xa0and the debit cards are not interchangeable. However, we hear your frustrations and your feedback is taken very seriously as we know there is room for improvement. We're sorry that this experience has led you to consider banking elsewhere but please know that lots of new, great things are to come with Varo Bank. You can see the difference between Varo Bank and Varo Money here:\xa0https://www.varomoney.com/varobankmigration/\xa0-- if you have any questions or further concerns for us, please reach out to us at\xa0appreview@varomoney.com! We're here and happy to help!"", 'modified': '2021-02-12T14:01:17Z'}"
Soo disappointed and MAD,1,FALSE,pokieboo,3/13/2021 12:44,"Before they switched I never had a problem! I am a Varo user for years! Mid last week, I actually ran into a problem where I felt my account was compromised, I called them, and they froze my account for potential fraud. Ok that’s fine. That was on Wednesday. It is not the following SATURDAY and I still have NO ACCESS to my money. I have called EVERY DAY waiting on hold for nothing under an hour..Thursday once I got thru the call “dropped” so guess who had to stay on hold another HOUR!?. I have bills to pay and no access to MY MONEY. I keep hearing “I’m so sorry...fraud will contact you”. I have gotten 1 email from them and that’s it! This is crap. And the only way to reach someone is by email? I’ve emailed support and “fraud” so many times I’m sure they know my name by heart now. I’m tired of this and I need my money. It’s not fair...it has been 10 days and bills are due. All of my money is frozen like art on a wall...this is ridiculous. After this whole situation and the way it’s handled, I’m considering pulling all my money once it’s open again and closing this account. I’m totally disgusted....","{'id': 21638914, 'body': ""Hi! We are sincerely grateful for your support over the years. We take every precaution to keep you and the entire Varo community safe. However, can certainly understand the frustration. We'd like to take a further look into this issue. We were unable to locate an account for using your Apple ID. Please reach out to us for further support at appreview@varomoney.com. "", 'modified': '2021-03-14T20:51:31Z'}"
It's Pretty Cool,4,FALSE,NenaLinda82pr,4/27/2021 12:47,"My bank currently closed after many years, so I was forced to find another provider. Varo is pretty close to my previous simple account, and they have all the features you could want in an account. I just wish a few extra items were tweaked in there. Such as transaction search by name. And the ability to earn interest on anything over $5k in savings. For some reason, my Varo account also does not work with a few service providers, such as Paypal (as a bank account - it only accepts the debit card number), Target RedCard (to make payments), Earnin app (to receive), and a few others. I find this all highly inconvenient, and its unclear why these connections don't work. I also don't appreciate the limits of deposit or the fact you make me write ""check for deposit with varo bank only"" but then refuse a check because the person who gave it to me cut it off too fast and the edges aren't 100% perfect.","{'id': 22517351, 'body': ""We appreciate you for taking the time to leave us your honest\xa0feedback! We understand the inconvenience so know that your\xa0feedback\xa0was taken seriously and that we've informed the necessary team. If you have any further concerns and/or questions, please reach out to us at\xa0appreview@varomoney.com!"", 'modified': '2021-04-28T19:24:19Z'}"
"This is honestly ""VAR-Out"" dudes!",5,FALSE,Jostub01,4/21/2021 14:38,"Simply put, it's no hassle and a great main, or even back up, checking / checking + saving account based platform. Works as advertised and is as painless for me as they come. I have yet to have any issue with the service for over a year, I believe atleast a year if not two, and it's come in very handy on numerous occasions. Plus the straight forward ""fee's (or lack thereof) and interest rates"" are pretty nifty. 

Keep up the great service and I'll keep my eyes peeled for maybe some cool new features coming in future updates *hint *hint lol (but honestly, my only recommendation would be that we get to see you folks additing some cool new twists, bells, whistles and even small touches, even if for a test run. It's that extra special spice that keeps a service like Varo feeling just as fresh, and down to earth, as it was on day one.)",
Love it!!!,5,FALSE,mommahansen15,2/22/2021 12:43,Varo has made banking so much easier for me. I’m able to get all my banking done in no time and I never have to make any extra trips to the bank I also love that I don’t have to any monthly fees for my account ever which is a must for me why should anyone have to pay a bank to put money in it? When my card was stolen they had me a new card in the mail the same day I reported it stolen plus made sure all the transactions were mine as well and there was no charge for a new card like most online banks I’m looking forward to using the new app and card hopefully it just adds to the good job they are doing. So far Varo has been a good choice for me and my already busy life I tell all my friends and family about it and recommend it to anyone looking for a new bank.,
The Next Best Thing to Chime,4,FALSE,Leo.shelton,3/21/2021 14:36,"Chime seems to beat out Varo at everything except the savings APY. I’ve been using Varo with direct deposit for about a month now. I do get my paycheck almost 6 hours earlier in the day than I did using chime so that’s a plus. But chime’s app design is better, offers credit builder credit card, and has support chat in the app. Honestly the only thing that I don’t like about this bank is that their app is so boring and simple. The GUI is about as simple as it gets. Grateful they included a balance widget at least for the Home Screen . I’m not extremely concerned though because Varo is a reputable bank but just created this new app to switch to a better banking system so I can’t to wait see what the future has in store for Varo. Please keep your customers satisfaction the number one goal for this bank and it will be better than chime.",
Was a customer for 3+ years,4,FALSE,Kevvinnnrrr,6/11/2021 7:07,"Overall I was very happy to have had VARO, they were a lifesaver in that particular moment in my life and I stayed with them through everything since, I’ve had some issues a few times with transactions and they solved my problems quick and were very helpful everytime. Also always linkable and convenient. I have recommended them to at least 50+ people in the time I had them...now I would have given 5 stars, if it weren’t that they closed my account 2 days ago...apparently in the user agreement, the account is not to be used as a business account and I had my SBA loan deposited to this account...they told me that it violated the agreement which was terms for account closure..it’s unfortunate...but I would still recommend this bank...just don’t have an SBA loan deposited to it.",
Terrible Bank—AVOID,1,FALSE,everynivknameitryistaken,6/2/2021 17:10,"This outfit has a a shambles. They have major engineering issues with their banking systems that will cause your balance to never be correct. You have to call then to get your money, and you better be prepared to wait on hold for hours and hours to speak to someone. It’s terrible!

You can dispute transactions, like you can with any bank, but they will not communicate to you at all throughout the process. Radio silent. If they have 2 months and 3 days to resolve a dispute, you better believe they will take exactly that amount of time to get you your money back. 

Oh but loath he who takes an advance, because they will remind you daily that you owe them money!

Their customer service agents are all weirdo Mormons from Utah. When one of them finally gets on the line and puts the phone to their ear, all I can hear is the ocean. Thick as two short planks. Some of the stupidest people I have ever spoken to.

They will shut your debit card off randomly and leave you with no way to access your money to feed your kid. They will send a card in the mail, make you wait two weeks for it to show up, with no   Way too access your money, and the card never shows up! They never send them!

If you have to close your old account to transfer to their new bank app, lord help you. You’ll never get all your money out of your old account, and they don’t care. You’re on your own. 

These reviews are all fake!","{'id': 23184065, 'body': ""We're really sorry to hear about your experience with Varo Bank thus far! We definitely want to better assist you, but we're having trouble locating\xa0your\xa0account\xa0with your username. Please reach out to us at\xa0appreview@varomoney.com, we hope to hear from you! "", 'modified': '2021-06-04T00:40:01Z'}"
Perfect,5,FALSE,sAlyBaby033333,4/18/2021 19:02,"Varo Bank is an amazing financial institution that has so many perks that go alongside it. The interest rate for your savings account has great profit opportunities. You can see your account information, plus withdrawal and deposit information. Easily transfer money between different banks. No fees like other cards, and I get my check 2 days earlier than my pay date. I’ve been using this bank for a decent amount of time, and wanted to make sure my review was accurate and not just some random 1 day user. I don’t plan on going anywhere with Varo. Oh, and they also have this tool that will fill in the blanks for your direct deposit information, and you can print it out and hand it to your employer.",
Most under- rated banking app!,5,FALSE,Gigixbx,12/15/2020 19:57,"I love the fact that Varo is an online banking service. 
There are no ridiculous fees. I don’t have to worry about getting to the bank before it closes, because they have several open-late locations. Transferring money to my partner for bills has never been easier, and the app itself is really easy to navigate- all the information needed is where you’d expect it to be, no more hunting down account details or struggling to find transaction history. The Varo customer service has been more than dedicated to helping me with a multitude of things, and are always so friendly whenever I call. 
I recommend Varo to everyone who is considering a switch or even just a new bank.",
Bad,1,FALSE,Rannnngjvfjcgj,4/2/2021 18:08,"Been having quite a lot of issues with this app ever since they switched to a bee version of the app. I had $700 in my account and couldn’t pay for gas or buy groceries for a few days, luckily I had another bank. In the past when I had issues with my car it was just a phone call and a few options to choose, then speak with someone and I’d be able to have my issue fixed. Now there’s way more options to go through and I haven’t been able to speak to any one. And now some has hacked my account was moving money through it illegally. I luckily only had $5 left in there since I took everything out, but it jumped to $50, then $30 then $80 and then $12. I wish I took a photo of it but with so much going on it my life I forgot. I want to cancel my account with them but they won’t answer my calls. Never using this app again, there’s Lilly and real banks and BoA and chase so that’s good","{'id': 22036634, 'body': ""Hi! We take fraud very seriously. We're sorry to hear of your experience and would like to look into this situation. We are unable to locate an account using your Apple ID. Please reach out for additional support at appreview@varomoney.com. We are happy to help. "", 'modified': '2021-04-04T18:36:28Z'}"
so many ridiculous changes,2,FALSE,victorchavusa,1/13/2021 20:13,"if we and most of the customer decided  having an account with Varo it was cause offering simplify all the trash and charges of the other  banks impounds to customers. 
But every time Varo is changing and not for better  more security  it is good but very restrictive for example I living in the border with Mexico when i cross the border the app stop working  sending e mails and they “doesn’t know why” - international transactions now are charged - ATM getting % more high in commission.  transactions get duplicated informed that to the email and phone customer service  they responding weeks later saying it was nothing wrong  it fine and charged. so it means i can’t complain.  very sad see a good bank  becomes in an other “MONEYlittle secret fees collector” like the other banks are and  WE the customers who believed who helped and are helping make this big Bank NOW  goes to end in the priority list.","{'id': 20414801, 'body': ""We're really sorry to hear you're upset about the switch to Varo Bank. As we've just received our national banking charter, this enabled us to become a bank where we can now offer our own accounts along with other new and improved features. Varo Money accounts are provided by The Bancorp Bank so the switch is\xa0necessary\xa0and the debit cards are not interchangeable. However, we hear your frustrations and your feedback is taken very seriously as we know there is room for improvement. We're sorry that this experience has led you to consider banking elsewhere but please know that lots of new, great things are to come with Varo Bank. You can see the difference between Varo Bank and Varo Money here:\xa0https://www.varomoney.com/varobankmigration/\xa0-- if you have any questions or further concerns for us, please reach out to us at\xa0appreview@varomoney.com! We're here and happy to help!"", 'modified': '2021-01-15T02:27:42Z'}"
Love it,5,FALSE,BigRigDK,3/20/2021 8:00,"This has really been a great bank for me so far. The app is up-to-date, and they are still a growing bank and I look forward to seeing their new products as they come out. The only drawback recently has been due to the pandemic with lower federal interest rates so their savings account perks have dwindled a little bit but in my opinion they’re doing their best with what they have. For example their 2.8% savings cap used to be on $50,000 and then lowered to 10,000 and now it’s 5000 here recently but they increased the percentage from 2.8 to 3. So it’s definitely a good savings account for somebody that’s just starting their savings. Hey Varo! Increase your savings cap back to where it was when you can, please! Lol",
Worst bank,1,FALSE,Osvy1097,6/5/2021 0:58,"Had Varo set up autopay on their end and once my due date arrived. Loan balance has decreased after autopay kicked in, but some sort of glitch occurred. The amount due hasn’t deducted from my checkings account, but every time I make a purchase, the push notifications displays a whole different amount. Notifications and in app balance show different balances… called and waited two decades for them to answer and it’s been over a week, they still haven’t fixed it!!!! But WAIT THERE’S MORE…. Recently I experienced a unauthorized charge and filed a dispute… No provisional credit was given and will take nearly 2 weeks to receive my card compare to other banks…. Like I have bills to pay and they expect me to call back every time I need to make a payment or withdraw money…. Currently I have to wait greater than 60 MINUTES IN ORDER FOR THEM TEMPORARILY ACTIVATE MY CARD and withdraw money (im waiting by the atm for them to answer)…. THESE ARE THE PERKS OF NO FEES BANK!","{'id': 23221223, 'body': ""Hello! We take the security of our customer accounts very seriously. Therefore, we strictly follow federal regulations around transaction disputes and we use industry standards for researching and investigating claims. We'd be more than happy to review all the options you have to access funds while you await the arrival of your new card. While we would absolutely love to help, we are unable to locate an account. Further, we are unclear as to what the full extent of your issue is. We ask that you provide all the applicable details and send your response to appreview@varomoney.com. "", 'modified': '2021-06-06T19:07:50Z'}"
Customer Service is abysmal.,1,FALSE,Dukdrtacot,3/11/2021 16:07,"I never leave reviews on apps or services, no matter how bad. But I felt the need to put it out there. This bank’s customer service is AWFUL. If you need to change anything minor about your account, it takes multiple emails and/or multiple forms. Need support by email? It’ll be 3 days minimum before you hear anything. Rather get support by phone? Be prepared to spend 45 min up to an hour waiting to talk to someone. Emails are scattered and half the time don’t answer the original question. I cannot recommend strongly enough for people to AVOID THIS BANK. The extra services they provide are cool but they do not have the bandwidth to support customers if something goes wrong. So, if you sign up... just hope nothing goes wrong with your account. They’ll deactivate your account - no warning, no phone call, nothing. Only a 7 day warning to move your money somewhere else.","{'id': 21620318, 'body': 'We’re sincerely apologize for the long hold times recently! We’re currently experiencing extremely high volumes. We understand the importance of contacting customer support and are eager to assist with your request. We appreciate your patience during this time. Please remain on the line or contact us at appreview@varomoney.com if you have yet to receive assistance!', 'modified': '2021-03-12T19:45:39Z'}"
"New, but not exactly improved",2,FALSE,allredmr,1/3/2021 23:36,"I’ve had Varo for years and I have absolutely loved it up until this transition to the new app and cards. My husband and I have both had issues with the new debit cards not reading at various places, the app is unreliable, notifications can take forever and some charges sit there pending for an extremely long time, and the new account number doesn’t want to connect to Venmo. There’s also apparently a fee now that Varo charges for using an atm, IN ADDITION to the atm fee that you already have to pay the machine. Switching all of my payment information was annoying but that would have been understandable. The debit card issues have been the biggest problem though, to the point that I think we will have to switch to a more reliable bank. I’m really sad about it because until now Varo was easily the best bank account I’ve ever had.","{'id': 20194561, 'body': ""We're really sorry to hear you're upset about the switch to Varo Bank. As we've just received our national banking charter, this enabled us to become a bank where we can now offer our own accounts along with other new and improved features. Varo Money accounts are provided by The Bancorp Bank so the switch is necessary and the debit cards are not interchangeable. However, we hear your frustrations and your feedback is taken very seriously as we know there is room for improvement. We're sorry that this experience has led you to consider banking elsewhere but please know that lots of new, great things are to come with Varo Bank. You can see the difference between Varo Bank and Varo Money here: https://www.varomoney.com/varobankmigration/ -- if you have any questions or further concerns for us, please reach out to us at appreview@varomoney.com! We're here and happy to help!"", 'modified': '2021-01-05T14:30:01Z'}"
This is a real review.,5,FALSE,guesswhozeback,4/10/2021 20:34,"Guys do not get chime.  My work does not offer direct deposit so I could not really do anything with chime.  I made a chime account three days ago and I woke up today and it was suspended. They claim that I already had a account and now have to send them my identification documents to prove myself.  I decided to look online for similar mobile apps and I found Varo.  Instantly it was easy to make my account and get everything set up in less than five minutes. Also on chime it wouldn’t let me transfer money from my local bank savings account to my chime.  VARO LETS ME DO THAT.  I love this App, absolutely outstanding!  Wish I could give you guys ten stars and a donation!",
No help until fraudulent charges are posted,1,FALSE,Englitchik,6/1/2021 17:50,"I was happy with Varo until I suddenly had 4 charges from the Philippines post in 5 minutes. I immediately called customer service, and (after a good while on hold) was to,d nothing could be done until the charges showed as posted and were no longer in pending status. When I had a similar issue at PNC, they immediately refunded the charges to my account while they investigated, so my bills would still be paid. Not the case with Varo, so I will be returning to PNC. Very disappointing. Oh, and estimated hold time is 60 minutes, adding insult to injury.
***UPDATE*** Once I finally got through, the rep was helpful, and it only took a few minutes to file the dispute. Looks like I should be able to transfer funds from this account to my PNC account and use that card for funds. I guess if you have no other account, your money is just held hostage for a couple of weeks.","{'id': 23176919, 'body': ""We're sorry to hear about your situation. We take fraud very seriously, and our disputes experts thoroughly investigate all claims. Varo strictly observes federal regulations and industry standards around disputes. Our team will reach out to you with any updates regarding your dispute!"", 'modified': '2021-06-03T13:46:54Z'}"
This is one messed up outfit,1,FALSE,jacksmad,1/28/2021 0:16,"Any of the pluses for doing business with this bank you can get from other banks with way less haste. 

The $50 overdraft is a joke. Even if you pay it all back, it’s unavailable until the transactions that overdrew your account settle. I have never had a bank do this.

My money frequently disappears and reappears a day or two later. I am pretty sure they take more than they show you when you use your card at a place that involves a tip. They won’t show you a running balance, so verifying this requires starting at your last statement balance and doing the math of all your transactions to see what they are shorting you. Really dishonest. 

If anything happens to your card, you lose it, they think it maybe compromised, they will shut it off immediately and make you wait two weeks for a new one to come in the mail. There is no way to access your money while they are doing this.

The wait times when you ah e to call in are ridiculous. They cut off my card for fraud and I had to sit in hold for two hours to try to pay at 7 eleven.

If you have to do a charge back, they won’t communicate with you at all through the process. No one will get on the phone with you and if you do speak to someone they will make you feel like a criminal when you’re the victim.

Just choose another bank!!","{'id': 20734377, 'body': ""We appreciate you for taking the time to leave us your honest feedback! We understand the inconvenience so know that your feedback was taken seriously and that we've informed the necessary team. If you have any further concerns and/or questions, please reach out to us at appreview@varomoney.com!"", 'modified': '2021-01-29T14:20:37Z'}"
