review,userName,date,developerResponse,title,isEdited,rating
"Floats little bit of money with high instant delivery fee, but does work if needed.

I don’t think an app that charges you a monthly fee should be charging you “float cash instant” fees. Especially when it’s a $5 fee for $20 spot not including the monthly fee. 

If the app was free to join I would understand the fee. After paying for a monthly subscription it should be part of your services. In order to even qualify they get full access to bank account and paychecks to meet all the criteria’s, so they basically know you’re going to pay you back. I guess if you don’t they have all the information they need to just pull the money anyway. I would understand a fee for not making a payment, if that were to occur, they know it’s unlikely from your banking information, and setting up the paybacks on payday. 

Bottom line I think the point is to help someone is need, who is obviously someone that is reliable, based on the apps standards (which are understandable), but really just makes it harder for them in the long run. Not really helping. Just taking advantage of someone in need.",GoblinOnDeck,5/6/2021 12:37,"{'id': 20814480, 'body': 'Hi GoblinOnDeck, thank you for your feedback! Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits. In addition, standard floats are free and members can also choose to use Instant Floats, which have a small transaction fee due to the higher costs. ', 'modified': '2021-02-02T18:22:30Z'}",Ok,TRUE,3
This is the absolute worst app I’ve ever used. I have been trying to get a hold of them for almost 3 days now have sent over 20 messages without any of them receiving even a single response and they’ve charged my account twice even though I never even signed up for a subscription with them. Found out that you know apparently I do have a subscription so whatever I cancel the subscription and they charged me another amount after I canceled so two days in a row I was charge for an app I’ve never even used. Been trying to get a hold of customer service for a while now like I said I’ve sent about 20 messages none of them have gotten a reply. The absolute worst customer service I’ve ever experienced and when I do get a hold of somebody there’s gonna be a massive problem.,wednesdaylacey,4/30/2021 22:02,"{'id': 22596291, 'body': 'Hi there, we take concerns like this very seriously and looked into this for you. We were able to confirm that you sent a support request on 4/28/21 and received a response from an agent that same day with instructions on how to close the membership you signed up for on 12/31/21. On 4/29/21, you submitted a second support ticket which received continuous messages from you. This ticket was replied to on 4/30/21. The agent politely explained the membership, the free trial period, and the billing. The agent confirmed that the last bill to your account was on 4/27/21 after the initial payment request was declined by your bank. We take great care to ensure that the subscription is disclosed prior to signup and the membership details are available in-app.', 'modified': '2021-05-03T17:05:45Z'}",Do not download!!!!!,FALSE,1
The fact that I have downloaded and linked my account well over a week ago I still can’t use it every time I go to the app it tells me to link my account and then it just keeps loading for days I get the notification from my bank that it has been linked but nothing from this app side I don’t even know what else is in the app because it keeps taking me to the link account page today I went on it and now it keeps telling me to download the app which I have already and then I get the error message I don’t doubt that this may be a good app but what is the point in keep trying when I can’t get past the link account page will give it a few more days then I will delete this app,2021sryoung,6/9/2021 7:47,"{'id': 23315400, 'body': 'Hi there! Thank you for reaching out. We unfortunately are not able to find any users or support requests matching this name. Please contact us at floatme.zendesk.com using the subject ""2021sryoung Review - Technical Issues""; we’re happy to look into this for you!', 'modified': '2021-06-10T21:06:08Z'}",What to do,FALSE,1
This app monitors your spending and allows you a advancement that is not going to put you in a crunch on payday it also monitors your income and take that into consideration when offering you a salary advancement I gave this app five stars based off of my usage of the app and the customer service behind it they back their product 100% and ensure the customer is fully aware of all context prior to initiating a transfer give them a try they are well worth your time.,Wellillbedave,3/14/2021 0:17,"{'id': 21666791, 'body': 'Hi Wellillbedave, thank you so much for your review!! :)', 'modified': '2021-03-15T19:33:33Z'}",Great for tight spot incidents!,FALSE,5
"I was a tad bit hesitant when applying after reading some reviews, but I am glad I decided to download and apply!! I would have liked to get more than $20, but it’s better than nothing!! The process was quick and easy and the funds were deposited into my account immediately! If you need the funds immediately, it will cost you $4. I do recommend the app if you need help.",im-a-sin,6/6/2021 1:04,"{'id': 23247279, 'body': ""Hi there, thank you so much for your review! We're so glad we could help. The system increases Floats based on a variety of factors, including the number of Floats taken out and on-time repayment history. Please feel free to reach out to support for more information on this specific case."", 'modified': '2021-06-07T18:09:26Z'}",Easy and Effective!!,FALSE,5
"So when I first downloaded this app I wasn’t really impressed. While it was easy to download and link my information, I wasn’t approved for a float right away and that frustrated me because the whole reason why I downloaded the app was because I needed the float! However I stuck it out and after two weeks it was worth it! I got my float and it actually came right in time for Christmas! Thank you float!!",chris'80,12/24/2020 17:21,"{'id': 20017375, 'body': ""Hi Chris'80, thank you for your detailed review! I'm glad that we were able to help and appreciate your candid feedback. We'll make sure to pass it along to our design team :)"", 'modified': '2020-12-27T19:46:00Z'}",Most excellent app,FALSE,5
I was skeptical at first about downloading this app but I went ahead and got the app. The process was very smooth it allowed me to connect my bank with ease and also updated on my next payday as well notify me that I could take out a pay advance. I was able to get the max which was $20 for me! Thanks Float I needed a little help until pay day which is only two days away!!!,Tbryant88,2/10/2021 16:20,"{'id': 21006769, 'body': 'Hi Tbryant88, thank you for the kind review! Welcome to the FloatMe community! :)', 'modified': '2021-02-11T19:42:53Z'}",Won’t be disappointed,FALSE,5
Thank you FloatMe for making this a painless process. I am a little bit frustrated with the amount considering my overdraft risk is extremely low. However I do appreciate everything you are doing for everyone during this pandemic. God Bless you for actually caring about your members. That will create a huge member base in the future. I look forward to watching your institution grow.,bwh42,3/5/2021 4:38,"{'id': 21024152, 'body': ""Hi bwh42, thank you for your feedback! We're so glad you found the process easy. Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits."", 'modified': '2021-02-12T16:31:21Z'}",Very easy to use,TRUE,5
I have had this app for about 6 months now and it was working fine and any problems were addressed by Support if I emailed them or submitted a request but now it’s not working. I have submitted numerous requests for help and have gotten no response back after more then 2 weeks. They are still taking the service fee out tho and there is no way to even stop that thru the app. You almost have to have customer support to do anything in this app even change you’re address or phone number. I’m hoping they will see this and respond to me as I am at my wits end trying to get in touch with them!,gagzgs,7/15/2020 15:06,"{'id': 16992903, 'body': ""Hi gagzgs, unfortunately Apple does not provide an email address for us to respond to (and we don't recognize your name). Please DM us, send us an email, or submit a ticket via support@floatme.io and we;ll be happy to help.\n\nWe're continuing to expand our self-service features in-app and your feedback is appreciated."", 'modified': '2020-07-31T03:24:33Z'}",Cannot get a response from support!!,FALSE,1
"I canceled my account because they took out double subscription payment  last month. I got a confirmation email that my account was canceled.  I never did get the double payment back.  And now they still keep taking out the $1.99. I have tried to email support many times with no response.
My bank said I have to pay $30 to stop it. I should not have to pay this. I canceled my account!!
Stop taking the subscription fee. I canceled!!
Been months and they now told me my account can’t be found but they still continue to take money out of my account each month! 
Do not trust.",HJ0519,9/4/2020 22:21,"{'id': 16983203, 'body': ""Hi HJ0519, unfortunately apple does not list emails so we're not sure who you are. If you are continuing to receive charges you may have set up multiple active accounts as the confirmation email is only sent once an account is closed. Please reach out to our customer support team at support@floatme.io if you need further help- we try to respond within 48 hours to new requests; I apologize if you have not yet received a response."", 'modified': '2020-07-30T14:50:01Z'}",Don’t sign up,TRUE,1
"The buttons for the amounts are too close together. You only get the option to float up to $20 with your first float. I accidentally selected the $10 option. It was the biggest button on screen and the buttons are too close together. There isn’t a way to undo or cancel your float for the right amount. So, I’m paying $4 on a $10 float. Not worth the hassle.",AurumCandy,7/26/2020 10:43,"{'id': 16982310, 'body': 'Hi AurumCandy,\n\nThank you for your feedback. You may need to adjust your zoom or text size settings- our buttons adapt to those settings. We also provide a summary page before confirming the Float- there is a back button in the upper left corner; unfortunately we are not able to cancel floats after the confirmation page since the Float is processed immediately. Please reach out to support@floatme.io if we can help further.', 'modified': '2020-07-30T14:07:03Z'}",Not worth it,FALSE,5
"Update 2/26: I have added all of the necessary verbiage to my emailed requests “tessaz3633 billing review” multiple times the most recent being today. After their original response I immediately messaged with tessaz3633 billing review as the subject. I was again charged another monthly membership fee. 

Update: they told me to email them about my request, nearly a month later and I have still NOT gotten a response. DO not use this service. 

Original Review:
I used this one time and was aware of the member ship fee. After I repaid my first float I cancelled my membership and was immediately locked out of my account. Now they have charged me ANOTHER membership fee and it has been plenty of time for them to cancel my account. This is fraudulent and I will be reporting it to BBB, my bank and any other review center I can find. I have emailed support and will update my review when they correct my issue. Do not sign up for this it is not worth the $20 float.",Tessaz3633,2/26/2021 23:06,"{'id': 21352014, 'body': 'UPDATE 2/28/21: Hi Tessaz3633, we first received your ticket #89860 on 2/25/21 at 9:43 AM. On 2/26/21 at 6:04 PM (outside our business hours) the ticket was updated to include ""tessaz3633 billing review"" in the body of the message (we apologize, this was the first instance of this we were able to find- no other tickets have been received). \nOn 2/26/21 at 6:56 PM a member of our support team replied to your request and confirmed that while the original membership had previously been canceled, a 2nd membership had been opened and was still ACTIVE and had not been canceled by the account owner. The agent offered to help close the 2nd account and proceeded to do so within 24 hours of confirmation by the account owner on 2/27/21 at 9:37 AM. If you need further assistance, please reply to your ticket #89860- we are happy to assist further.\n\nUPDATE 2/26/21: Hi Tessaz3633, we still cannot find any members or support request that matches this username. Please use the subject ""Tessaz3633 Review - Billing"" so it is easier to find your request. Thank you! \n\nORIGINAL: Hi Tessaz3633, thank you for reaching out. We unfortunately are not able to find any users or support requests matching this name. This could happen if a member has more than one account with FloatMe and doesn\'t cancel all of the accounts. But, please be aware that we only allow our members to have one account. Please contact us at floatme.zendesk.com with the subject ""Tessaz3633 Review - Billing""; we’re happy to look into this for you! ', 'modified': '2021-02-28T20:55:36Z'}",BEWARE- stay away,FALSE,1
They have been charging me for the last 10 months i closed my account in March they have stolen over 40 dollars from me. an will not email me back they have been taking it as a ach payment. i will be contacting my bank you had no permission to take money out of my account once i closed my account with you guys. just seeing this on my account you people stole $3.98 a month from me an have been doing this for over 10 mouths imagine what you’re doing to other accounts scamming people. This should be shunt down imagine them doing this to thousands of people an getting away with it no more. I bet I’m not the only one,If you write a comment,1/1/2021 18:13,"{'id': 20254073, 'body': 'Hi there! Thank you reaching out. We unfortunately are not able to find any users or support requests matching this name. Please contact us at floatme.zendesk.com; we’re happy to look into this for you. From your description, it sounds like you may have opened multiple accounts- you can close these account by logging into the app or via our online help portal at floatme.zendesk.com; please be aware that deleting the app does not cancel the account.', 'modified': '2021-01-08T02:38:55Z'}",Scam scam,FALSE,1
Great app to have during this pandemic. This was literally a life saver. I was robbed for my wallet in VA and I’m from PA. I had no way home. Float Me loaned me $20 instantly that helped me get back home. When is this company going public? I need to invest. I would’ve given 5 stars but they’ve had me on a $20 float forever now.. 😪 I don’t mind because I don’t need it much. At first I thought by using the floats I would be increased. So I used them. Even when they weren’t needed. 🥴,BobbySeale1500,3/29/2021 17:46,"{'id': 21119793, 'body': 'Hi BobbySeale1500, thank you so much for your review! We\'re so glad we could help when needed most. The system increases Floats based on a variety of factors, including number of Floats taken out and on-time repayment history. If you feel like you do qualify for a Float increase please contact the support team at floatme.zendesk.com with the subject ""BobbySeale1500 Review - Float Increase"" to have them manually look into this more. Thank you! :)', 'modified': '2021-02-17T18:11:31Z'}",What More Can I Say.,TRUE,4
"I had an account with them,used it once and closed it out. 
When you delete it you become blocked as a user so there will be no contact with them in case something happens like them continuously or randomly charging your bank account for services you aren’t even subscribed to. Which is exactly what happened here. I have been charged a monthly feel and I don’t even use it anymore or have access to it. I have tried to contact their support team and they got back to me once and never again. Do not use this service,you will regret it.",Andycarty,12/7/2020 20:50,"{'id': 19654769, 'body': ""Hi Andy, our membership team looked into this for you and has replied to the ticket you submitted on 12/06/20 on 12/09/20. While our team strives to reply quickly, we are in the midst of the holiday season which means reply times may take a little longer than normal. After review we found that while an account had been closed out in October, a second account was opened in early November- this is why you were billed. If you have further questions or need help please reply to the agent's response."", 'modified': '2020-12-09T20:08:16Z'}",These people are thieves.,FALSE,1
"Used the app, it was fine in regards to getting small amounts, but nothing to write home about.  I closed my account after some time using the app, and then recently tried to re-activate my account. I found I’ve been blocked like it’s Twitter or something lol. Granted it did mention something about a 30 day period in between. But it’s been months now. 

Kind of a headache between the small cash advance, the monthly subscription fee, and (in my case) just getting blocked forever.",JollyGgcggg,5/9/2021 12:07,"{'id': 22750828, 'body': 'Hi there, thank you for your feedback. It looks like your account was closed via our self-service cancellation form, and there is a 60 day cool down once an account is closed, so that is why it was blocked. Since 60 days have passed, please reach out to the support team at floatme.zendesk.com to restore the account.', 'modified': '2021-05-11T17:12:21Z'}",Eh,FALSE,3
I have been trying other cash advance apps like true Bill and empower and they seem more like a gimmick because they never work no matter what float me is the real deal I have a very low available float on here but it’s consistent it does what it says and it’s there when you need it highly recommend it five stars very fair very straightforward and no gimmicks,spark.atl.ga,2/28/2021 22:00,"{'id': 21402127, 'body': 'Hi spark.atl.ga, thank you for your review!! :)', 'modified': '2021-03-02T16:08:38Z'}",Float me is the real deal!,FALSE,5
"I signed up and did what I had to and wasn’t able to use it since, but yet I am getting charged the $1.99 fee and I logged back in and got asked my bank account info again and now it is saying my bank is duplicated, so I tried getting in contact with floatme support and still waiting for a responce 🤦🏼‍♀️",monim1974,9/2/2020 1:51,"{'id': 17681344, 'body': ""Hi, unfortunately we can't find a monim1974 in our member database or support tickets. However, a member of our team will reply to your ticket soon- thank you for your patience."", 'modified': '2020-09-04T01:25:33Z'}",Duplicate accounts,FALSE,5
"I have had float me for about two months now and I never had any issues before but all of a sudden my advance gets paid back and now I can’t get another advance because they’re not detecting it out of my bank. Meanwhile it was taken out of my bank and it’s been over a week since I was paid it back. I have contacted support and no one will get back to me and I’ve contacted them multiple times, so I’m just gonna delete the app because this is pointless, you should be getting back to your customers and you’re not. I’ve been contacting you for over a week.",aimxx3,12/17/2020 14:24,"{'id': 19863140, 'body': 'Hi aimxx3, we unfortunately don\'t have any users or support requests which match this name. We\'d love to look into this for you- please contact us at floatme.zendesk.com using the subject ""aimxx3 review - payment"" and we\'ll be happy to look into this for you. During the holiday season we have increased demand so support times a little longer than normal.', 'modified': '2020-12-18T22:27:20Z'}",Payback not detected.,FALSE,1
"Setup my account and asked to float 20. Never got the 20 but the sure were ready to take back what they didn’t give me. Can’t cancel my account, can’t remove my accounts, none of the buttons work on this app just get an error. In times like these taking any money from people who don’t have much to begin with his robbery. I’ve spent the last hour looking for a customer service number or email. Still no response back. Closed my bank account and closing card due to fraud from this “business” since I can’t remove my information or close the float me account.",Irishmc_,12/3/2020 12:24,"{'id': 19554472, 'body': 'Hi Irishmc_, we\'d be happy to look into this for you but are not able to find any users with a matching name or email. There are several ways to easily contact our customer support team. You can use the ""help"" button in-app (it is located in the upper right corner of most pages) or visit our public support portal at floatme.zendesk.com; this is accessible via our website, in the app description, and by clicking ""app support"" in the app store listing.', 'modified': '2020-12-05T05:34:12Z'}",Scam - DO NOT DOWNLOAD THIS APP,FALSE,1
"So I linked my account as I was supposed to and for some god awful reason float me is NOT detecting my direct deposits!!Which I have had numerous of so far in my account. And there’s absolutely no way to update or change anything to your FloatMe account!!! once you’ve made it you cannot make changes you can’t update it nothing!!
I just spent hours reading answers to questions on how I can my update my information or manually put in my direct deposits. 

I give up at this point am done.,, It makes absolutely no sense to have an application thatblenes you money that you were unable to update or add anything to l!!!@you why do you make your profile unprofessional and annoying.

I most likely will be disconnecting my a when I do pay back.

DO NOT DOWNLOAD APP!! Just a waste of time and will frustrate you while your setting up your account!",Tamigirlclick,1/29/2021 4:48,"{'id': 20789774, 'body': 'Hi Tamigirlclick, thank you for reaching out. We unfortunately are not able to find any users or support requests matching this name. Users can make changes to their account by reaching out to the support team. In addition, in the settings portion of the app, members are allowed to change their bank account if needed. Please contact us at floatme.zendesk.com with the subject ""Tamigirlclick Review - Account""; our support team is more than happy to support you with this! ', 'modified': '2021-02-01T18:30:31Z'}",Annoyed,FALSE,2
I’ve been using this app for a couple of months now & I still can’t access a larger amount. I’ve paid on time & waited for awhile before requesting again; all of which they say you have to do in order to get access to higher amounts. It also takes forever for customer service to get back with you. I sent an email & by the time they responded I forgot I sent it.,Keyster🤪,2/1/2021 13:22,"{'id': 20814490, 'body': 'Hi Keyster, thank you so much for your feedback. Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits. In addition, if you need further assistance, please contact us at floatme.zendesk.com. Thank you for your patience.', 'modified': '2021-02-02T18:23:49Z'}",App,FALSE,4
"No one and I mean no one answers on the customer tab for FloatMe I had to go through hoops and loops to be able to get a decent answer and when I did the didn’t want to help cussing an overdraft fee, basically saying oh well your fault. 
The terms and condtitions states FloatMe will not charge account when there is no money but they did anyways I had to go through my bank to get a refund and my fee waived for safe measure change your account number they will try to pull through ach when account is closed still",Pure issues,1/19/2021 2:53,,Use Twitter and use TikTok and other social media to get issue resolved,FALSE,1
I have went threw the website and done everything I’ve been told to do months ago and they are still taking money out of my account every month. I have sent emails after emails asking what else am I supposed to do bc I have did everything I was told to do to have it cancelled in my opinion they are thief’s for still taking money out of my account every month I have everything saved emails and where I have done what they told me to do to close it and not be charged anymore so if I don’t hear something soon I will see what actions I can take.,accohnt,2/15/2021 4:18,"{'id': 21094018, 'body': 'Hi accohnt, thank you for reaching out. We unfortunately are not able to find any users or support requests matching this name. If a member has more than one active account and does not close all accounts, this can occur. This is why we only allow members to have one active account. Please contact us at floatme.zendesk.com with the subject ""accohnt Review - Billing""; we’re happy to look into this for you! ', 'modified': '2021-02-16T16:56:21Z'}",Thief’s,FALSE,1
I’ve used this a handful of times and it does come in handy. However I’m still limited to $20 all these months later! Kinda makes me not want to use it because it’s almost useless right now. To get more you have to borrow the same $20 over and over... wish you would level it up every once in a while. we’ll see how it goes!  Cheers.,imiessima,2/10/2021 1:22,"{'id': 21003956, 'body': ""Hi imiessima, thank you so much for your feedback! We're so glad you've found our app helpful. Most members start at $20-$30 since the average overdraft is caused by a $15 - $25 transaction but increases as we get to know you better and learn your financial habits. However, if you feel like you do qualify for a float increase please contact the support team at floatme.zendesk.com to have them manually look into this more! "", 'modified': '2021-02-11T16:14:40Z'}",Pretty good.... but could be better!,FALSE,4
