developerResponse,userName,review,isEdited,title,date,rating
"{'id': 10058537, 'body': 'Hi there! Please contact appreviews@quadpay.com so we can assist you. Thanks!', 'modified': '2019-08-07T18:00:00Z'}",C. saathoff,"This app would be great if it worked the way it was intended to. I initially use QuadPay for a purchase with primitive and everything went great. I downloaded the app signed up for the card and was on the waiting list. While on the list I used QuadPay through primitive again with no issues. I was able to pay both off no problems. Once I was approved for the QuadPay card I had issues tried to make a purchase at Under Armour and the payment only processed for part of the purchase amount. I couldn’t get the QuadPay app to work so I called Under Armour and canceled the order. They said they will issue the refund. The 3 days Under Armour said it would take for the refund to issue passed and I got an email saying it was issued successfully. QuadPay hasn’t issued my refund for the initial payment, my card was taken away and I was put back on the waiting list. I tried to use the automated messaging system to solve the issue but that didn’t happen. I was prompted to send an email for further support, so I did. It has been almost a week with no response, or refund. Also the QuadPay app now says I’m denied the card and must try again In 30 days. This is unbelievable 4 payed off purchases through this company and one currently open, but they take the card and say I’m denied? I don’t get it. I really did like this company and the app the ability to use it anywhere is great, but now I don’t know if I will even try to use it again.",FALSE,Poor service,7/23/2019 2:34,1
,sierranoels,"The thing about QuadPay is your not paying interest the payment for whatever you are buying is literally just split in 4 payments every 2 weeks they put the money up front for your purchase but your basically paying back QuadPay if 4 payments. It’s easy just type which item you’d like to shop for and did I mention they have a lot of different stores, stores I didn’t even know about. What I normally do is go to the search page type in “makeup” so many stores with different prices from ulta and Sephora have cheaper prices with the same products. I would of never known without QuadPay. Did I mention every time you spend the amount of money you spend determines the amount you’ll be preapproved for so if you spend 250, ounces it’s all paid up it will go into your pre approved for another purchase. This is a great tool for those trying to get multiple gifts for Christmas and don’t want to spend a lot of only have enough for some at once it’s perfect. Also awesome for moms I have a son and I’m always looking for different clothes and toys and this app has it all. Try it out you definitely won’t regret it. It’s worth it‼️‼️‼️‼️",FALSE,One of the best 4 way payments plan apps,11/29/2020 2:05,5
,13_Akane_13,"QuadPay is actually the second app I’ve used to make split payments on purchases. I have found that there are actually a number of these that I’d never heard of until now. Anyway, I do like this one better than the other one I had used because of the card you can use. Most of these programs have certain businesses they’re affiliated with that you can purchase from which can be limiting if the place you want to shop from isn’t on the list. I’m assuming that you need to make a purchase through an affiliated company and pay it off before they give you a card balance but once they do, you can request a certain amount (up to the amount they’ll allow. Right now I have 200 I can spend) that you want to use for a purchase and they will create temporary credit card information that you can use anywhere that takes Visa or Amex. They charge a few dollars fee and then you just pay off your balance over the next six weeks like normal. I like to shop from some less mainstream shops so this is great. I was able to buy from YesStyle using my quadpay balance and now I’m super excited just thinking about the different places I want to buy from.",FALSE,Pretty neat app,7/21/2020 11:33,5
"{'id': 12010835, 'body': ""Hi there! We want to safely approve as many people as possible, but aren't always able to do so. Please email appreviews@quadpay.com and we'll be happy to review your account. Thanks!"", 'modified': '2019-11-23T18:08:54Z'}",ReallyNoReallyComeOnNow,"READ BEFORE YOU SIGN UP!! Found this app and from the reviews and info supplied above it seemed like it could be a good thing to try, especially with the holidays around the corner. I downloaded and signed up with my personal info in the most recent version of the app. Even went so far as to add a payment method and awaited the “you’re account is ready to use now shop!” Like it exclaims above...simple...easy...shopping with payments. But, I received instead a message saying, “due to the popularity of the app, we can’t accept you currently, but keep an eye out and we’ll send you an email when you can join...or feel free to try and retry in a month or so.” First reaction is “whaaaa? ok” then more like “okay so you enticed me to simply sign up and get started today” only to slap me with a “hey! Isn’t it great?! were super popular at the moment so we can’t have you in the club but thanks for signing up with your details...maybe soon we’ll have a spot..maybe a month. Up to you to check back. Yay us!” 

Guys...come on. I get the trending join or waitlist for early access marketing and even the classic old Facebook invite only tactics that some are still clinging to..but, not disclosing anything in the details above saying something about it? Even the same semi pompous gloat message would do. Well hopefully this will reach a few would be applicants ahead of time to save them the dumbfounded expression I had moments ago.",FALSE,Guys...Come on...,10/25/2019 4:21,1
"{'id': 13205303, 'body': 'We are so happy to hear that we can be here for you. Thank you for your thoughtful review and keep on #QuadPaying 🙌', 'modified': '2020-01-30T15:43:02Z'}",GameOverGreggy2222222222,"I was buying some new shoes online and when I went to checkout I say QuadPay as an option. Click on it to see what it was and when I read that it splits your payment into four equal installments (interest free). I said sure I’ll give this a try. So right off the bat QuadPay pays for your purchase in full and you pay QuadPay the first installment. Got my new shoes in the mail a couple days later and paid off the installments when scheduled. I believe they’re every two weeks but I can’t remember. The nice part is you also don’t have to wait for the scheduled date to pay. So if by the second payment you want to pay the rest off then you can. QuadPay works with returns too, now I haven’t done that but I believe they get the full refund and then refund you whatever you paid so far. 
Last thing, this app allows you to use QuadPay anywhere, you just open the app and type in the website you want to go to and at check out there’s a banner at the bottom of the app that says “pay with QuadPay”. You just click that and type in how much everything is plus tax and shipping. And then QuadPay generates a Visa card number and everything for you.",FALSE,Best app hands down,11/25/2019 20:17,5
,one happy customer pleased,So I downloaded this app and used it when they first got started. So here was my experience I went online to purchase some Ugg’s that were about $250 I went directly to the UGG site upon checkout it asked if I wanted to use quad pay at the time I knew nothing about the app but what I did know was that I would be able  to break my payments up into 4 installments. Now I was like surly there’s a catch or watch I end up getting charged something extra down the road it just seemed too good to be true. Well my purchase came in the mail and I was able to do the four installment payments. It was smooth and easy. So recently I wanted to order some items for pick up at Walmart and I noticed quad pay has expanded to a bunch of stores and Walmart was one so I tried it again! I really like this app and it is smooth easy and convenient. I’m still learning it but they have it where you can use it in the store they have it like a Visa card attached to it (I’m sure I didn’t explain that part right but you have your own Visa card with the account when using it in the store) if I could give this a 10 I would. Don’t just take my word for it give it a try!,FALSE,DUHHH The BEST APP EVER,8/19/2019 12:21,5
,irithomas,"I first used QuadPay when I was going to order some Silicon rings for my husband and I on Enso Rings and it gave me the option to do installment payments. My total wasn’t much (about $80) but I thought to myself that doing 4 payments of $20 every paycheck, since they charge biweekly, was barely going to be noticeable coming out of my account. I did have doubts though. Like if my order would wait to ship until after the installments where all made and how well QuadPay communicated with the merchant but my order came so quickly and I had no issues. Not to mention that if QuadPay hadn’t sent me reminders through text and email a few days before each payment, I wouldn’t have even noticed they charged my account! It’s wonderful. I’ve placed two different orders since then. I did notice that if I spend too long on a website before putting in the payment information, I get an error message when I check out. That’s the only thing I could complain about but it’s really such a small inconvenience compared to how great this app is overall. It’s like a much safer credit card with no interest. I’m very impressed.",FALSE,Amazing APP!! 👏🏽👏🏽,10/11/2019 1:22,5
"{'id': 18946706, 'body': ""We are so sorry for the issues you're experiencing. We would be happy to step in and help out. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Thanks!"", 'modified': '2020-11-06T16:19:56Z'}",jaduhhhhh,"So I’ve been using QuadPay for a couple years now. I’ve never had problems with QuadPay until just recently, customer service has been giving me the run around. The app was always easy to navigate and very convenient UNTIL I was locked out of my account for no apparent reason. I always pay my installments on time and everything. They locked me out of my account and I needed to access it so I could update my payment method. 
I was originally using a different debit card for a past purchase but I’ve recently switched to a different bank that I now use as my primary bank account. All I needed was access to my account to switch my cards. The previous card I used had little to no funds available because I stopped using that account HOWEVER QuadPay CONTINUED to withdraw my installments and every transaction I was charged $30 overdraft fee from my bank. 
I have been emailing and chatting back and forth with customer service for 1 month now in regards to this issue. They will not give me access to my account to change my payment methods and I’m still being charged. They have done NOTHING and they keep lying saying they will forward my info to their imaginary “internal team” ( THAT DOES NOT EXIST ) I hate this app now and once I get my account resolved I’ll never use them again.",FALSE,Customer Service is HORRIBLE!!!!,10/26/2020 21:25,2
"{'id': 20935406, 'body': ""We are so sorry for the trouble you're experiencing. We would be happy to help with this. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Looking forward to sorting this out :)"", 'modified': '2021-02-08T17:57:40Z'}",shawneeic1999,"I got QuadPay a few days ago and was excited to try it out. I followed the directions and linked my debit card and set everything up. Ready to do some shopping I had an available balance to use of $250. After picking my wife out a Yeti cup for $37...there’s a minimum $35 order, I went through everything as directed and placed the order using the virtual one time visa number they supplied. It didn’t go through. It would just say “in progress” which QuadPay explains is what it says when there’s a problem. You then have to cancel and confirm. The $250 was returned to full amount HOWEVER my bank account was charged the first payment. Under the impression I did something wrong, I tried again carefully following what I needed to do. Again “in progress”, again it was cancelled and Again my bank account was charged. This App doesn’t appear to work well at all except when it comes to charging your own bank account. I wanted to discuss with someone but there is NO PHONE NUMBER for customer service. They will only chat with you and after sending several messages and trying to navigate their customer service-free site, I deleted it. I read several reviews after of people who are constantly being charged for orders that they were cancelled. Good Luck...there is no way to speak to ANYONE. How this app got 4.9 out of 5 is beyond me. 

Shawn",FALSE,Don’t waste Your Time...,12/12/2020 2:02,1
"{'id': 12228552, 'body': ""Hi there! We want to safely approve as many people as possible, but aren't always able to do so. Please email appreviews@quadpay.com and we'll be happy to review your account. Thanks!\r\n"", 'modified': '2019-12-05T10:41:58Z'}",BethanysMommy4,"They give no info. I’ve used Afterpay and Sezzle (and even Sezzle at bass pro for 6 month financing) for quite some time with no issue and thousand repaid. Quadpay in the original model never had stores I was interested in so perhaps that is why, I didn’t use them for a purchase through Ugg so cannot use them for a smallish purchase with their new system unlike how I could use Sezzle at bass pro no problemo. They will not disclose how they pick and choose which is obviously not credit based since they ask for zero info, no last 4 (Sezzle does for the 6 month financing), don’t even ask for bank or card info before denial (which I have enough flow to show easy repayment). I rate 1 star for lack of transparency here. Afterpay and sezzle let you start off small and increase unknown limits over time, which was no problem over the past year, I always am approved. I can drop 200$ and usually pay off early. The option for these types of services is quite nice when there is a sale and your check is due 2 weeks later anyways or you have an event/holiday/occasion requiring gift buying and are watching budgeting. Interest free and not using credit cards is also preferred. I’d request quadpay be more transparent on the denials, I’d reckon not having used prior to the change but since they aren’t an actual creditor they don’t seem to tell you why.",FALSE,How do they approve?,12/3/2019 19:20,1
,jetaaaaaaa,"I have been using QuadPay now for months. It has really helped me get items that I didn’t have money for right away. It helped me get presents for my fiancé’s birthday when I couldn’t afford to buy a gift. I am really happy with this app and I continue to use it all of the time. It’s super easy and divides the payments into 4 and every two weeks you make a payment towards it. I actually don’t even have to do anything it sends me a text always before the payment date to remind me and then when the payment date comes it automatically takes it from my account. So if you spend 100 dollars it’s gonna take 25 dollars that day and then another 25 dollars every two weeks. Super easy and makes everything super affordable. I have used it for bunch of things like buying furniture, buying gifts, buying clothing and shoes, buying a luggage set. I mean QuadPay saved me and made my life easier. I recommend it to everybody give it a try and you’ll see it’s awesome :). Just make sure you read the steps that are in the app before you make a purchase so that you do it correctly. Thanks QuadPay for everything you guys are awesome.",FALSE,Amazing,11/14/2019 19:19,5
"{'id': 21996111, 'body': ""We are so sorry for the issues you're experiencing. We would be happy to step in and help out. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Thanks!"", 'modified': '2021-04-01T14:34:53Z'}",Rylee23,"Sorry excuse of a company. I have tried to contact their customer support by phone four times this morning, nothing. I put in a different card to pay my payment, still received an error message. Spoke with someone last week about the issue and was sent an email as a follow up of what was discussed over the phone, and was told that the issue had been sent to their technical team to be resolved. Of course I had another payment due yesterday. Same ERROR MESSAGE. Same issue, no resolution! HOWEVER, they were quick to slap me with a LATE FEE for their technical issues! I even put in a different card, same issue! I have screens shots of the error message for both cards I used. I also have a screen shot of the message I sent their customer service this morning, in which I have to get a response. This is not a good look for their company and I have decided that I will NEVER USE THIS APP ANYMORE!!!!! This is the worst service ever and I see others are having the same issue with no RESPONSE from QUADPAY. Seems like a scam to me! APPLE, you need to be looking into reviews and investigating this APP too as you have other apps as of recently! DO NOT DOWNLOAD THIS APP. Do not use this app, as they have a lack of customer service and they have a lack of resolutions. Not happy with this company at all. If I could leave 0 stars I would. One star rating is too much!",FALSE,Sorry Service,3/24/2021 15:37,1
"{'id': 17897345, 'body': ""We are so sorry for the issues you're experiencing. We would be happy to step in and help out. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Thanks!"", 'modified': '2020-09-15T20:43:48Z'}",Raiderz1119,"(The only reason you see 5 star reviews is because as soon as you try and make a purchase they text or email to enter to win $150 if you leave a review and screen shot it) I seen this app and thought I’d check it out. Read all the great reviews. I tried it got approved to use 200 I used 90 through Walmart. They charged me the 25% of the order and charged my card. Then I got an email from Walmart stating they delayed my order for “financial security” I then contacted QuadPay and they said they can process orders up to 7 days sometimes 13. We’ll you should have made that know, maybe make that a clear statement before people make purchases. It’s been 4 days my purchase was still open and hadn’t changed to processing or in progress so I contacted them once again. They said Walmart denied the transaction and he just stopped all further installments and issued a refund for my 25% and should be in my bank in 5-10 business day or 13 calendar days. So then I contact Walmart and they said they didn’t deny it they accepted the order but the financial institution did not approve the transaction. So they take the money and then don’t approve the transaction and then when you follow up days later to find out what’s going on they barely say the transaction was denied and they’ll start the refund now. No wonder your BBB rating is F.",FALSE,BBB rating is an F for a reason!,9/10/2020 18:34,1
"{'id': 13720016, 'body': ""We're so happy to hear that it all worked out! Keep on #QuadPaying"", 'modified': '2020-02-26T15:43:51Z'}",LucyQ-C,"I’ve used QuadPay before when purchasing from affiliated merchants websites. I was a bit apprehensive since I wasn’t too sure how it worked when a return was made. I’m known to change my mind often. Well sure enough I needed to make a return and the whole process was super simple. I recently made another purchase using QuadPay which prompted me to see if there was an app available to better keep track of my payments and purchases. I was happy to see there was so I downloaded the app and to my surprise the app functions even better than expected. It allows you to not only make purchase from the merchant affiliates which are clearly displayed within the app, it provides a credit in which can be used when purchasing from any site. Most can be easily searched in the search field provided, but if for whatever reason you cannot instantly find the site you are searching, there is a google search function that allows you to find any website. Overall very practical and and super convenient. Great concept. Makes purchasing and repayment very easy.",FALSE,Great App!!,2/26/2020 2:24,5
"{'id': 15755778, 'body': ""Hi there, We are so sorry for the issues you're experiencing. We would be happy to step in and help out. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Thanks!"", 'modified': '2020-06-03T15:59:50Z'}",kittyV.,"I got this app and wanted to us it on a merchant for an item I’d need for an event at the end of the year. Stock was limited but i didn’t have the money to pay to make sure I got my hands on it. While it was SUPER easy to sign up and I got an instant approval rate, the rest not so much. 
I went to the app to get my item. Hit “pay with Quad” entered the total and got my payment schedule. Awesome! When I get ready to check out, the card numbers have already gone through. The app decides to refresh and there’s no longer the card numbers. But it never actually gave me numbers either. And Every time you order something you get a new ghost card. I tried to just re-do the order and go for it again. Incomplete because my first order with that merchant is “still in progress” even though the stores checkout said otherwise. Then the app decided to charge my card FIVE times. And that trigger my bank to shut my account down for fraud. I contacted customer support when the app would also no longer accept my card even after the bank approved Quad to withdraw funds. Customer service is a JOKE. She told me to try it through different devices (laptop, tablet etc.) or a different search engine and private mode. Every time I asked to close the account I got no response. Upset, because I REALLY thought this would be THE app. Guess not 🤷🏻‍♀️",FALSE,Not worth it,6/3/2020 3:10,1
"{'id': 17612533, 'body': 'Hey there! We are so sorry for the trouble. We would be happy to help with this. When you have a moment, please email us at appreviews@quadpay.com with any previous case numbers for reference. Looking forward to sorting this out!', 'modified': '2020-08-31T20:33:24Z'}",DBearden95,"I downloaded quadpay to try it out, I previously read a review before that mentioned my current issue which I probably should have listened to. I’ve used quad pay for almost 5 months now NO issues...until now one day out of the blue my virtual card disappears, error messages flying, or invalid virtual card pops up. Agent after agent has no idea why, one agent said “your card only appears when you make an purchase” which i was very clear i am still making a payment on items I purchased so thats way wrong. Then i was told my app wasn’t eligible and they were accepting accounts as they come like when you first sign up.. like WHAT? Im way mad by this point but was told “oh! You can go on your computer and shop at stores that use quadpay and order that way.. just not through your mobile app” how does that make since?? At this point you are probably wasting your time having this app, or just enjoy the fun while it lasts. I loved using this app for the convince that I don’t shop but at maybe 1 store in quadpay and the rest i used a one time card.",FALSE,Enjoy it while it lasts.,8/28/2020 3:27,5
,AbbigailJoy,"Where do I begin?  Well. My first time using QuadPay  on-line was so easy.  It tells you what to do.  First:  go shopping.  Browse the stores to find THAT pair of shoes, dress. Bedding, etc. then checkout with QuadPay.  Using the app is so simple and fast. When you have the total for your purchase, enter the total on the app and it will okay your purchase.  On your iPhone, it will say that you are using QuadPay.  When you enter the payment information, choose “credit card” and your QuadPay account information is entered for you and it finishes the transaction with the seller and then QuadPay splits the total into four two-week interval, payments. All is done on-line.  The first payment is due at purchase with the last three being set up to automatically be drawn from your bank at those given times.  QuadPay sends the total amount of your purchase to the seller, seller confirms the sale and you are done. You also have the balance owed showing on your QuadPay account.   So easy!   Thank you, QuadPay!  My life gust got easier!",FALSE,I ‘m so glad I found this app and QuadPay!,7/5/2020 9:21,5
,Beautyful702,Let’s see.. I thought I made a 52$ purchase to test it out first the Order so called went through and took the first out of 4 payments out of my bank account here we are two days later I receive a text said that my 52$ was declined do to the card only had 25$ and I need to requested a new one..I did get another item as well but apparently every single time you make or want to make a purchase you have to put in how much your going to spend before you spend it like why can’t I just buy stuff and pay it back like all the other ones. Yet because the first order wasn’t shipped it didn’t ask me to create another virtual card it so much they don’t explain it’s to many circles to go around to use it. It says it will not take out what you do use yet it charged me and then said it was declined after wards I don’t like it!!! I only wanted to use QuadPay because the have better places to shop the Afterpay that’s why I gave two stars the process of this is to much of a run around  now I have to figure out how to get my money back do they even have a live customer service because last I Check u have to email them and wait for a email back which I done before and still never received a reply a month later. Don’t waste ur time!,FALSE,Not happy at all!,6/1/2021 2:07,2
,Rellie Rellz,"Ok so I read about quad pay online. I applied and initially I was told I could not be approved and I should check back at another time. About 3 months later I randomly checked and I had a limit. So I put it to use. I made my first purchase on Fashionnova. It was so cool to pay for something  in bi weekly installments interest free. As I paid that installment off, my limit increased. I am on my fourth purchase and it has been a great help to not have to put out all my money at once. I recently made a purchase at Ikea instore. I tried using the quad pay apple pay but it declined and said I had to make a request in the app first. I did that step but then it showed me the card number to be typed in along with an exp date and CVV number. When I clicked on the apple pay button again which I assumed would then allow me to make the purchase it didnt work 😕. But the ikea rep allowed me to type my card info in on the  keypad so the purchase was complete. Please update the app to allow me to switch back over to apple pay once I make the request for my in-store purchase. The button is there but it does not work. Overall, a great app to use!",FALSE,Easy cash flow,9/11/2020 1:05,4
