rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9
2,-0.037595365,-0.027632333,-0.010225417,-0.030127048,-0.047435686,0.02535974,-0.002060911,0.013107841,0.000257021
1,-0.034279627,-0.022776379,-0.007522517,-0.020549604,-0.023372299,-0.013786326,-0.009839798,0.021721207,0.000335576
2,-0.035829426,-0.025216518,-0.008944464,-0.0256903,-0.036827579,0.009392489,-0.005020365,0.015934613,0.000292644
5,-0.055127749,-0.055981581,-0.026897935,-0.090556777,-0.207010227,0.303636554,0.056420086,-0.057773677,-0.000410758
5,-0.033001152,-0.021335786,-0.006876895,-0.01849816,-0.019516196,-0.016993716,-0.009955339,0.020876972,0.000315885
1,-0.03458915,-0.023268288,-0.007811197,-0.021595764,-0.026119398,-0.009039897,-0.008854921,0.020525519,0.000330167
5,-0.054039622,-0.054145952,-0.025804633,-0.086598905,-0.196441165,0.28485691,0.052587622,-0.052572871,-0.000374425
1,-0.03323271,-0.021598537,-0.006995127,-0.018874086,-0.020222802,-0.01641268,-0.009939321,0.021037761,0.000320304
5,-0.051659477,-0.050453983,-0.023644767,-0.07875795,-0.175850005,0.249220203,0.045049678,-0.043565252,-0.000367907
5,-0.032893907,-0.021218144,-0.006825187,-0.018335488,-0.019218254,-0.017222752,-0.009957952,0.020803053,0.000314125
1,-0.036029567,-0.02501199,-0.008647639,-0.024356525,-0.031942397,-0.002202676,-0.007944037,0.020366124,0.000331763
1,-0.037402957,-0.026682081,-0.009452625,-0.027020288,-0.037596597,0.004533875,-0.007023933,0.020140702,0.000336778
5,-0.041997206,-0.034791189,-0.014422465,-0.045315722,-0.087446247,0.094856422,0.012581735,-0.00418795,4.63E-05
5,-0.038027073,-0.028680308,-0.010934259,-0.032815523,-0.055276514,0.040725178,0.001418334,0.008395878,0.000203624
1,-0.036180183,-0.02522221,-0.008759931,-0.02474485,-0.0328682,-0.000832365,-0.007695252,0.020150743,0.000326102
5,-0.048932958,-0.046214116,-0.021207049,-0.069968354,-0.153022187,0.210031956,0.036847495,-0.033866842,-0.000377746
1,-0.033679029,-0.022144234,-0.007260207,-0.019754709,-0.022115383,-0.014084527,-0.009608696,0.020892449,0.000323186
5,-0.056789461,-0.058177815,-0.027998732,-0.094247683,-0.215195896,0.313989692,0.058251235,-0.05763135,-0.000667495
1,-0.036111933,-0.02505137,-0.008640051,-0.024283022,-0.03150595,-0.003512738,-0.008307672,0.020961325,0.00034088
4,-0.04150337,-0.03374137,-0.013733415,-0.042713744,-0.080007542,0.080600408,0.009345851,-3.59E-05,0.000100462
1,-0.034245526,-0.022823827,-0.00758448,-0.020822688,-0.024349565,-0.011514185,-0.00927882,0.020864321,0.000328488
5,-0.041231073,-0.033634689,-0.013768504,-0.042978976,-0.081458714,0.084725162,0.010548657,-0.001630577,1.14E-05
3,-0.040193757,-0.03166862,-0.012534013,-0.038403566,-0.0687714,0.061277199,0.005365107,0.004839347,0.000102847
4,-0.051836543,-0.050634835,-0.023734321,-0.079058132,-0.176505986,0.250152038,0.045044735,-0.044136458,-0.000278225
5,-0.056742449,-0.058237908,-0.028105087,-0.094733686,-0.217038806,0.31871306,0.059152099,-0.06046528,-0.000431824
5,-0.047813923,-0.044622856,-0.020372436,-0.067122574,-0.146367571,0.200684091,0.035021016,-0.03337743,-0.000110803
5,-0.047947341,-0.044443179,-0.020144302,-0.066143514,-0.142771995,0.192116753,0.033155018,-0.02950915,-0.000102743
1,-0.035414642,-0.024318562,-0.008337392,-0.023372804,-0.030102066,-0.0036952,-0.007980425,0.019935576,0.000326969
5,-0.053971455,-0.054150991,-0.025834075,-0.086720723,-0.196966946,0.286146729,0.052971779,-0.052852771,-0.000494022
5,-0.053236795,-0.053170199,-0.02532062,-0.084955995,-0.192893175,0.280531443,0.051544727,-0.053211867,-0.000281752
5,-0.057153143,-0.059094741,-0.028660932,-0.096853667,-0.223123184,0.33056721,0.061987857,-0.063815891,-0.000504889
1,-0.033564321,-0.021964284,-0.007156727,-0.019384284,-0.021166147,-0.015661021,-0.009921969,0.021253498,0.000325915
5,-0.059976641,-0.063832295,-0.031506485,-0.107193322,-0.250849605,0.37968572,0.072056175,-0.077421574,-0.000594624
5,-0.048916816,-0.046352369,-0.021345266,-0.070578004,-0.155147924,0.215064632,0.038187965,-0.035762273,-0.00036761
5,-0.052016249,-0.050986387,-0.023936904,-0.079762766,-0.178307131,0.252937691,0.04579561,-0.044008965,-0.000458709
5,-0.03300089,-0.021360589,-0.006898929,-0.018588036,-0.019806265,-0.016376472,-0.009809884,0.020671371,0.000313719
1,-0.036358352,-0.025571501,-0.008989612,-0.025617396,-0.035377254,0.004045289,-0.006599102,0.018610824,0.000326812
5,-0.039225399,-0.030498564,-0.01196204,-0.036475542,-0.064595349,0.056111843,0.004542222,0.005014791,0.000137401
5,-0.049650685,-0.046910272,-0.021451423,-0.070654018,-0.153586454,0.208272373,0.036272501,-0.031661124,-0.00035892
3,-0.042767431,-0.035625668,-0.014798667,-0.046514572,-0.089676907,0.096548283,0.012571161,-0.00356609,1.77E-05
4,-0.047789751,-0.044197271,-0.020021928,-0.065747963,-0.141912247,0.19100432,0.032985815,-0.029421417,-0.000119633
5,-0.047242517,-0.043350975,-0.019471995,-0.063616636,-0.135862387,0.179340934,0.030369106,-0.02551007,-0.000263933
5,-0.04690644,-0.043098316,-0.019468617,-0.063878062,-0.137748111,0.185505911,0.032117894,-0.028908603,-0.000105521
5,-0.055901865,-0.05702044,-0.027438234,-0.092415102,-0.211322089,0.309579001,0.057600131,-0.058112878,-0.000508443
5,-0.048466085,-0.044989136,-0.020320365,-0.066530308,-0.142669197,0.189254379,0.032137089,-0.027132939,-0.000235646
3,-0.037826964,-0.02798799,-0.010415595,-0.030789649,-0.049052195,0.02785987,-0.001540326,0.012753001,0.000229187
5,-0.063167527,-0.068281844,-0.033874096,-0.115425318,-0.270585733,0.409433038,0.077907281,-0.08185026,-0.000772085
5,-0.040641854,-0.032731886,-0.013249625,-0.041127245,-0.076694274,0.076733934,0.008931709,0.000263993,3.61E-05
4,-0.041921743,-0.034632409,-0.014324731,-0.044932582,-0.086381602,0.09286943,0.01199657,-0.003926828,8.31E-05
4,-0.042229687,-0.034910791,-0.014410908,-0.045165087,-0.086401859,0.091466239,0.011683841,-0.002398186,-2.42E-06
5,-0.059368096,-0.06282727,-0.030909752,-0.105116722,-0.245456651,0.370689672,0.070650714,-0.074591816,-0.000612733
5,-0.04463959,-0.038810849,-0.016700735,-0.05343004,-0.108183932,0.129422516,0.019550001,-0.012257238,-3.12E-05
5,-0.057451654,-0.060035082,-0.029359522,-0.099542592,-0.231354938,0.347291372,0.0655888,-0.069733307,-0.000593642
4,-0.058766252,-0.061198548,-0.029761536,-0.100671104,-0.232115171,0.343695472,0.064252832,-0.066139151,-0.000468446
5,-0.057204613,-0.05871958,-0.028263521,-0.095159623,-0.217251999,0.316859401,0.05877178,-0.058001458,-0.000635528
5,-0.050860199,-0.049167397,-0.022912809,-0.076178716,-0.16927455,0.238471621,0.042885483,-0.041425311,-0.00020613
5,-0.045907644,-0.041055774,-0.018088945,-0.058543058,-0.122203885,0.155031866,0.024984436,-0.019635675,-6.21E-05
4,-0.056081332,-0.057566253,-0.027853062,-0.094046321,-0.216425206,0.320454619,0.059847357,-0.062593683,-0.000442769
5,-0.051495465,-0.050174235,-0.023509928,-0.078373545,-0.175108797,0.248629796,0.045166263,-0.043796038,-0.000253467
1,-0.033480316,-0.02185786,-0.007103042,-0.019202457,-0.020753118,-0.016234405,-0.010017063,0.021339014,0.000325374
5,-0.03284895,-0.021177136,-0.006810749,-0.018296628,-0.019187101,-0.017121957,-0.009913099,0.020708358,0.00031262
4,-0.048714439,-0.045327236,-0.020533343,-0.067361721,-0.14495847,0.193326499,0.033183675,-0.0280327,-0.000311538
3,-0.045443125,-0.040290065,-0.017672207,-0.05714704,-0.118828628,0.149899229,0.024094654,-0.018678421,-4.79E-05
5,-0.045950907,-0.041191917,-0.018193239,-0.058996954,-0.123629997,0.158154619,0.025895743,-0.020483456,-6.07E-05
5,-0.059008924,-0.062102567,-0.030422759,-0.103195777,-0.239769594,0.359170824,0.067994463,-0.070597898,-0.000693756
5,-0.054165324,-0.054268023,-0.025799296,-0.086423166,-0.195374925,0.281539053,0.051664039,-0.05064811,-0.000501812
5,-0.04254409,-0.035628913,-0.014893929,-0.046997733,-0.09171626,0.101800166,0.014055427,-0.005481583,-4.26E-05
5,-0.061086168,-0.065327473,-0.032309157,-0.110063744,-0.257870273,0.390747974,0.074461022,-0.079259621,-0.00056261
1,-0.037164309,-0.026528239,-0.009438931,-0.027083794,-0.038362919,0.007227155,-0.00623562,0.018815504,0.00032214
5,-0.06051796,-0.064374015,-0.031701891,-0.107731072,-0.251312207,0.378367474,0.071554069,-0.075794685,-0.000576977
1,-0.035318728,-0.024405551,-0.008469114,-0.023968493,-0.032308901,0.001589107,-0.006665394,0.017845432,0.000313235
5,-0.048429682,-0.044883881,-0.020251518,-0.06625773,-0.141860508,0.187601368,0.031706315,-0.026691878,-0.000212981
5,-0.051957264,-0.050636939,-0.023663818,-0.078700032,-0.175031257,0.246370404,0.044007784,-0.042737225,-0.000194075
3,-0.03944437,-0.030453037,-0.011814568,-0.035789691,-0.061863371,0.049293018,0.002812946,0.007747621,0.00017205
5,-0.048491786,-0.045019641,-0.020340768,-0.066633379,-0.142949552,0.189554349,0.032381576,-0.026745427,-0.00035419
5,-0.062629255,-0.06767821,-0.033617556,-0.114700501,-0.269539278,0.409488277,0.078529045,-0.082273245,-0.000907298
5,-0.043339624,-0.036973136,-0.015726276,-0.050076804,-0.100182285,0.117502994,0.017319611,-0.010449996,7.80E-05
5,-0.044904865,-0.039036556,-0.016772544,-0.053606197,-0.108185484,0.128403867,0.019147595,-0.011612903,8.38E-06
5,-0.057216607,-0.059179206,-0.028676859,-0.096836314,-0.222803003,0.329031657,0.061554916,-0.062560241,-0.00070278
5,-0.049350886,-0.04655142,-0.021317052,-0.070297542,-0.153233169,0.209125693,0.036582046,-0.033072404,-0.000178466
1,-0.036397448,-0.025514438,-0.008912684,-0.025276023,-0.034129155,0.001046316,-0.007335768,0.01984707,0.000322549
5,-0.052112756,-0.051480346,-0.024379161,-0.081649749,-0.184594232,0.26701084,0.049108014,-0.049742933,-0.000306398
5,-0.061504103,-0.065934825,-0.032603811,-0.110980376,-0.259718477,0.392439489,0.074757247,-0.078195686,-0.00081592
2,-0.032825113,-0.021148381,-0.006796974,-0.018251175,-0.019090999,-0.017236292,-0.009928419,0.020713277,0.00031239
5,-0.057142742,-0.059348326,-0.028926367,-0.098060051,-0.227375787,0.340467719,0.064432659,-0.067868988,-0.000415085
4,-0.038599922,-0.029363113,-0.011258076,-0.033882397,-0.057488091,0.043171936,0.001737078,0.008528425,0.000186482
4,-0.035801887,-0.025593048,-0.009292329,-0.027115087,-0.04156107,0.019820259,-0.002571661,0.012106883,0.000249468
1,-0.03399848,-0.022462446,-0.007382989,-0.020108992,-0.022559906,-0.014410967,-0.009843911,0.021508505,0.000330202
3,-0.041837274,-0.034478337,-0.014242972,-0.044692108,-0.085824847,0.091974511,0.012035783,-0.003304281,-2.65E-05
1,-0.037704282,-0.027146772,-0.009718911,-0.027975461,-0.040054804,0.008656164,-0.006180999,0.019190534,0.000323857
5,-0.062693265,-0.06751141,-0.033415121,-0.113762657,-0.266165847,0.401699474,0.076357319,-0.079706184,-0.000754295
1,-0.034815455,-0.023509373,-0.007911359,-0.021896656,-0.026589929,-0.008957804,-0.008956768,0.020860774,0.000327588
5,-0.050707955,-0.049182653,-0.023010199,-0.076665457,-0.17132888,0.243813635,0.04413058,-0.044039446,-0.000178971
1,-0.037032329,-0.026534162,-0.009513422,-0.027458483,-0.039912519,0.011208581,-0.0052007,0.017177244,0.000306366
5,-0.054665677,-0.055054015,-0.026252019,-0.088019421,-0.199499879,0.288529378,0.052842354,-0.052882154,-0.000443861
4,-0.061591851,-0.066217368,-0.032844956,-0.111973491,-0.262966744,0.39964802,0.076198238,-0.08161749,-0.000703641
5,-0.06068519,-0.064509277,-0.031747867,-0.10787863,-0.251372996,0.377433521,0.071692598,-0.073911486,-0.000821485
5,-0.048066024,-0.044361559,-0.019954785,-0.065238705,-0.139320384,0.183500345,0.031071271,-0.025442093,-0.000277999
5,-0.057062103,-0.059099999,-0.028694875,-0.096991263,-0.223729153,0.331821777,0.062381536,-0.06374507,-0.000763013
5,-0.061623707,-0.066131574,-0.032718468,-0.111384836,-0.260763268,0.394093522,0.075069021,-0.078472592,-0.000878723
1,-0.034957868,-0.02394362,-0.008235974,-0.023177507,-0.030516184,-0.000876732,-0.007077908,0.018168206,0.000312006
2,-0.03645357,-0.02618551,-0.009500951,-0.02769854,-0.042038626,0.018283808,-0.003158584,0.013810848,0.000273378
1,-0.033058444,-0.02141206,-0.006915777,-0.018629957,-0.019812647,-0.016602877,-0.009895172,0.020842392,0.000315492
5,-0.045755925,-0.040552538,-0.017693126,-0.056989685,-0.117359386,0.144872786,0.022758603,-0.015763343,-0.000113641
5,-0.051288057,-0.050261636,-0.023687496,-0.079174465,-0.178301426,0.256625457,0.046868248,-0.047695504,-0.000237759
5,-0.050860724,-0.048784957,-0.022544319,-0.074572988,-0.16385553,0.226163933,0.039668128,-0.037128334,-0.000183717
5,-0.0614372,-0.066166163,-0.032896994,-0.112365982,-0.264793845,0.404825927,0.077820353,-0.083757445,-0.000617254
2,-0.033666099,-0.02223398,-0.007348302,-0.020123591,-0.023362749,-0.011302308,-0.008938249,0.019880554,0.00031093
1,-0.034349526,-0.0228739,-0.007575599,-0.020736722,-0.023839656,-0.01302281,-0.00968691,0.021543878,0.000333804
1,-0.034556265,-0.023181895,-0.007747229,-0.021341907,-0.025342267,-0.010649778,-0.009235441,0.021070823,0.000328017
1,-0.035312882,-0.02434619,-0.008416886,-0.023756723,-0.031616918,8.85E-05,-0.007007095,0.01841286,0.000314001
5,-0.041876146,-0.034837308,-0.014530786,-0.045803748,-0.08938265,0.099722637,0.013618349,-0.006650683,9.14E-05
5,-0.053988103,-0.053960627,-0.025639925,-0.085915388,-0.194248615,0.280149711,0.051309227,-0.051126807,-0.000316331
1,-0.034867704,-0.023571086,-0.007942221,-0.022002877,-0.026840117,-0.008565942,-0.008881584,0.020757612,0.000334426
5,-0.05091084,-0.049021965,-0.022724052,-0.075284732,-0.166026437,0.230428257,0.04081292,-0.037918873,-0.000344509
5,-0.055004116,-0.055405763,-0.026407906,-0.088582811,-0.200628187,0.289397213,0.053460435,-0.051515688,-0.000681841
1,-0.035650026,-0.024762685,-0.008620588,-0.024428536,-0.033060555,0.001847279,-0.006778572,0.018289751,0.00031477
5,-0.041896569,-0.034815626,-0.014501554,-0.045672676,-0.08884167,0.098195098,0.013388219,-0.005468193,-2.10E-05
1,-0.033687684,-0.022170127,-0.007278616,-0.019826134,-0.02232877,-0.013667232,-0.009510447,0.020777327,0.000317749
5,-0.04567931,-0.040960517,-0.018130532,-0.058890185,-0.123973403,0.160243155,0.026463587,-0.022049393,-8.77E-06
1,-0.036845936,-0.026075285,-0.009191846,-0.026212067,-0.036214957,0.003841166,-0.006904485,0.019470866,0.000332252
5,-0.041440317,-0.033918444,-0.013919566,-0.043487992,-0.082704476,0.086788061,0.010785476,-0.002517256,9.95E-05
4,-0.047860621,-0.04393184,-0.019700648,-0.064310967,-0.136862378,0.179412649,0.029923309,-0.025373044,-5.40E-05
5,-0.056279761,-0.057628393,-0.027774186,-0.093582652,-0.214219389,0.313965637,0.058548527,-0.058351552,-0.000726694
1,-0.034769223,-0.023645404,-0.008059394,-0.022530103,-0.028791146,-0.003928542,-0.007721865,0.018996274,0.000306036
1,-0.038333219,-0.027911877,-0.010088676,-0.02920336,-0.042682045,0.011865935,-0.005720236,0.019017296,0.000331527
1,-0.035319486,-0.024070307,-0.008159193,-0.022680255,-0.028034559,-0.007832899,-0.008934164,0.021238655,0.000337062
5,-0.048866565,-0.04634913,-0.021376795,-0.070754819,-0.155954812,0.217397275,0.038443103,-0.037828267,-0.000129531
5,-0.05016701,-0.047745629,-0.021964328,-0.072535685,-0.1587493,0.217949154,0.038050785,-0.035430167,-0.000135525
3,-0.042484484,-0.0351536,-0.014504738,-0.0454467,-0.086788562,0.091369918,0.011484932,-0.002126916,2.51E-05
2,-0.034994036,-0.023982139,-0.008248279,-0.023203732,-0.030492882,-0.001156472,-0.007143534,0.018450715,0.000287168
1,-0.036749525,-0.025934219,-0.009110574,-0.025921702,-0.035445131,0.00245095,-0.007180806,0.019929132,0.000323535
5,-0.062503185,-0.067576827,-0.03358135,-0.114537028,-0.269191459,0.409051226,0.07825476,-0.082454103,-0.000878544
1,-0.037179417,-0.026504465,-0.009406238,-0.026937617,-0.037827266,0.005932999,-0.006566193,0.019337636,0.000320457
5,-0.036067099,-0.025726477,-0.009276563,-0.02693244,-0.040358743,0.016115795,-0.003497195,0.014013744,0.000267412
5,-0.055325908,-0.05598493,-0.026774941,-0.089948796,-0.20442417,0.296441592,0.055011884,-0.05356318,-0.000681415
2,-0.039140296,-0.029517284,-0.011125366,-0.03309437,-0.053670797,0.032594617,-0.001093724,0.013091176,0.000239709
1,-0.033987427,-0.02263714,-0.007548692,-0.020797094,-0.024853785,-0.009355863,-0.008639562,0.019683701,0.000310507
5,-0.039693155,-0.031159929,-0.012318577,-0.037736246,-0.067677492,0.060895507,0.005554036,0.004267971,9.94E-05
5,-0.040399216,-0.032050084,-0.012766715,-0.039244757,-0.071091051,0.065662217,0.006268161,0.003361151,0.000165257
1,-0.036858958,-0.026185452,-0.009287489,-0.026607897,-0.037491678,0.006573767,-0.006238349,0.018561754,0.000324744
5,-0.05769814,-0.05962636,-0.028834003,-0.097256851,-0.223074113,0.32769792,0.060951313,-0.061510561,-0.000574774
5,-0.05314428,-0.05262386,-0.024851436,-0.083042832,-0.186601107,0.266606651,0.048688351,-0.046955987,-0.00044535
1,-0.035498992,-0.024429317,-0.00839111,-0.023553152,-0.030491764,-0.003232915,-0.007905077,0.019966306,0.00031333
5,-0.057480529,-0.059423827,-0.028780928,-0.097141768,-0.223221785,0.328985432,0.06138036,-0.062376673,-0.000554814
5,-0.058680886,-0.06169796,-0.030214243,-0.10249271,-0.23820399,0.356827764,0.06760417,-0.069935493,-0.000861734
4,-0.061569633,-0.065937163,-0.032599978,-0.111000565,-0.259772214,0.392530055,0.074790766,-0.078248675,-0.000842958
5,-0.053245008,-0.053025057,-0.025157366,-0.084198859,-0.190194041,0.274052061,0.050023411,-0.050209939,-0.000389428
5,-0.051048792,-0.049539993,-0.023137201,-0.076970152,-0.171384902,0.241703221,0.043690626,-0.04133568,-0.000542877
5,-0.051687973,-0.050922482,-0.024078632,-0.080624875,-0.182216107,0.263743735,0.048489612,-0.049545882,-0.000244218
5,-0.055164827,-0.055859017,-0.026749117,-0.089916013,-0.204790018,0.298564842,0.055076798,-0.05609504,-0.000305681
5,-0.054090676,-0.05448406,-0.026050875,-0.087587173,-0.199596295,0.291852392,0.05412694,-0.055395157,-0.000317916
5,-0.061357472,-0.065714055,-0.032528264,-0.11090353,-0.26006864,0.39453267,0.075609259,-0.079636952,-0.000617643
5,-0.058429139,-0.061440107,-0.030139069,-0.102395995,-0.238696761,0.359873751,0.068234093,-0.073026706,-0.000437616
4,-0.055730573,-0.056317319,-0.026866149,-0.090143641,-0.204147993,0.29431032,0.054105327,-0.052360129,-0.000620777
5,-0.058636124,-0.061333341,-0.0299405,-0.101438539,-0.234865578,0.349986254,0.066105109,-0.067838756,-0.00061733
1,-0.036052246,-0.025084364,-0.008698678,-0.02455772,-0.032541801,-0.00102469,-0.007657341,0.020058957,0.000315577
5,-0.055620735,-0.056779656,-0.027361141,-0.092225478,-0.211361873,0.310818704,0.058187635,-0.058634597,-0.000639134
5,-0.055721886,-0.056449012,-0.026968789,-0.090540092,-0.205402205,0.297056717,0.054793893,-0.053325958,-0.000561087
5,-0.052724183,-0.052123749,-0.024619668,-0.082336245,-0.185376288,0.266257401,0.048597516,-0.048569665,-0.000214531
4,-0.049725559,-0.04645964,-0.021008121,-0.068802361,-0.147298978,0.194118995,0.03274467,-0.026605236,-0.000290362
5,-0.06433161,-0.070030109,-0.034837234,-0.118888625,-0.279337958,0.423555636,0.081109317,-0.083931293,-0.001066637
5,-0.053715043,-0.05336394,-0.025209919,-0.084220765,-0.189103901,0.269363403,0.049057891,-0.046561401,-0.000593282
5,-0.0597546,-0.063191642,-0.031004098,-0.105221786,-0.244688244,0.36649803,0.069365432,-0.071588057,-0.0008532
4,-0.056063003,-0.057226196,-0.027528996,-0.092759309,-0.21213952,0.311011285,0.057907398,-0.058440126,-0.00048897
5,-0.059760645,-0.063826844,-0.031626969,-0.107869689,-0.253755601,0.387413204,0.074240344,-0.080574319,-0.000591571
5,-0.053137359,-0.053257835,-0.025436506,-0.085387115,-0.194394835,0.283630172,0.052484817,-0.053419145,-0.000580958
4,-0.058809069,-0.06151917,-0.029995946,-0.101517964,-0.234669772,0.34874084,0.065360224,-0.067585877,-0.000599373
5,-0.047517494,-0.04352465,-0.01947523,-0.063530237,-0.134935898,0.176125327,0.029558175,-0.023700099,-0.000273256
3,-0.034591935,-0.023445271,-0.007967526,-0.022236499,-0.028221337,-0.004456318,-0.007728656,0.018970491,0.000299853
3,-0.045947391,-0.040830957,-0.017901572,-0.057877245,-0.120074103,0.15056699,0.024159997,-0.017824701,-3.89E-05
1,-0.035271748,-0.024123158,-0.00823215,-0.023005251,-0.02921237,-0.005072621,-0.008242785,0.020207552,0.000322333
5,-0.048885453,-0.046375196,-0.021399301,-0.070786857,-0.15593596,0.21696618,0.038272488,-0.037386448,-0.000240377
