isEdited,date,title,rating,userName,review,developerResponse
FALSE,1/4/2021 18:51,Don’t try to make payments ahead of time.,2,arigilbert,"i wanted to like sezzle as much as i like klarna and afterpay, but when i tried to make a payment ahead of time it would send me a confirmation email, deduct the money from my bank account, BUT THEN STILL PULL OUT MONEY ON THE DATE I PAID AHEAD FOR!!! this isn’t good if you’re a person who likes to budget your money like me. usually i wouldn’t be upset, but i have other bills to pay for as well and a set budget. it makes me mad that i pay ahead of time, get the money deducted from my account, but when the original due date rolls around they deduct the money from my account for the next payment, which i already paid ahead for. so just beware if you pay ahead for a date, you will still have a payment due on that date. i would recommend going with klarna or afterpay. sorry for sounding like a karen lol.","{'id': 20249442, 'body': 'We understand your concern. Our team will be happy to answer any questions you have regarding your payments, if you could please send us an email at shoppersupport@sezzle.com.', 'modified': '2021-01-07T19:50:56Z'}"
FALSE,2/22/2021 1:55,A breath of fresh air!!,5,dj4u,I am 37. I screwed my credit up bad real bad when I was 20 so I have never qualified for credit. When this came out and the Apple Card it was a god send I am able to afford new upgrades for my house with going month to month for each items it makes it so much easier and a lot less stress when paying bills cause I’m not breaking the bank and having to save up every time for something. Plus I is building my credit back!!! I now have credit again after two years had my amount more then double cards started rollin in. Credit is lookin good. And if u need to reschedule a payment it’s no big deal.,
FALSE,4/8/2021 3:09,So far so good!,4,gutterlight,"I honestly wanted to give 4 1/2 stars, just to not give 5 as my experience is very new. But I will say this without saying too much, there is a wonderful, global yet grassroots subculture that has embraced a much healthier alternative to smoking and in the uk where healthcare is universal it’s value is recognised and they have shops that specialise in tobacco harm reduction inside their hospitals. Here, you instead receive an email after a failed attempt at using affirm or Klarna for such products, and they are jumbled together with drugs weapons ect. All I will say is thank you Sezzle for recognising and allowing your service to be used for these life saving products, unlike others who are likely compensated in some way to demonise them.",
FALSE,12/23/2020 0:40,Love Sezzle!,5,Jbu14,"I love that I am able to shop/buy now and pay later with Sezzle. The app makes it so easy to shop - you can search for a specific store or browse stores based on category and other filters, or even search specific items. The app takes you directly to the store website and then can choose to checkout with Sezzle. Payments are made in 4 installments, due every 2 weeks. This is especially helpful for those on a budget (🙋‍♀️) or making a large purchase and want to spread out your payments. You’re also able to access exclusive sales and discounts, earn rewards, and other great perks as well! Highly recommend!",
FALSE,4/1/2021 17:47,Convenient & Easy,5,Muffingirl2010,"I found Sezzle about a month ago, just in time to make a purchase that was important I order that day and I didn’t have all the money upfront. **Introduce Sezzle** I was hesitant at first-why would a company that doesn’t know me offer this to me? Had to be a catch! NOPE! I was approved and they paid for my order leaving me to pay them 4 easy payments, every 14 days! Sezzle worked so well for me that I’m about to pay off the last payment on my 3rd order without any issues the whole way through. I can’t recommend Sezzle enough if you don’t always have the money upfront for things you need and could use a little help.",
FALSE,11/12/2020 21:16,10-Oct,5,Strawberry cute,"This app is great to spread out payments for whatever reason you need that.

I use it because I have to buy expensive textbooks but only get paid biweekly so spreading out the payments prevents me from having to borrow money from others. The app works really smoothly and it’s easy to use. A couple of my friends stumbled on this company and shared it to me bc they know I love supporting American companies(afterpay is Australian). 

So glad I was exposed to this service before it gets really popular! Haha it’s like I’m in on a ~secret~ anyways, I recommend to anyone who considers themselves high-tech and innovative! Already rlly popular among other ppl at my college. #callherdaddy >> #callhersezzle",
FALSE,12/11/2020 20:50,By far the best payment app ever.,5,CeejayL,"I love Sezzle, got kind of freaked out when I saw it for the first time on a website but once I saw it’s no interest, 4 payments that align with paydays, because that’s when I also shop, LOL. And that they have their own app and you can manage your payments and also change dates and such if need be, that was awesome. It’s also amazing that through the app or site you can literally shop and see all the stores they are partnering with! So you don’t just have to hope this cool new store has Sezzle, because it does. Super impressed and LOVE able great customer service is if you ever need it!",
FALSE,2/13/2021 22:27,Not Accountable,1,Playa four,"I purchased shoes through Sezzle from Sarah Ashley.  It had been 3 weeks and I’d not been given a tracking number or anything.  I’d reached out to Sarah Ashley and they stated my ordered was received.  I asked for a refund and they stated they can’t refund until I receive the package.  By then I was about to make my 3rd payment to Sezzle.  I informed Sezzle of my issue and stated I wanted the money that I’ve paid this far.  Sezzle tells me to contact the manufacturer.  I’d already done that and they knew it.  Sezzle stated they could not give me a refund and that only the manufacturer could.  My issue is that Sezzle does not hild their manufacturers accountable.  I also don’t think Sezzle check the validity of these companies.  I should not have been paying for a product that I’d haven’t received so much as a tracking number for.  If a manufacturer is scamming, you can’t get your money back.","{'id': 21072615, 'body': 'We understand your concern with this issue. If you could please provide me with your email address, I will be happy to assist further.', 'modified': '2021-02-15T17:54:50Z'}"
FALSE,3/1/2021 21:29,Be ready to be ripped off,1,jessm98034,"The site/app is great if you only want to buy the gift cards that they sell, but don’t bother trying to order from any of the online stores that they advertise/sponsor. Out of 3 orders not a single one has been delivered on time and customer service is useless. We attempted contacting one of the stores for a refund for an order that is 3 days late and can’t be delivered due to an error on their part with the shipping label and they refuse to refund almost $200. We shared this experience with Sezzle and they refuse to do anything even though we have completed all the steps required for their dispute process and we just get a message back saying “nothing we’ll do about it”. Now we have to go through our bank. Just be prepared to be scammed out of your money when one of their sellers fails to deliver your order.","{'id': 21477506, 'body': ""When shopping with gift cards through Sezzle, the first step is to purchase a gift card for in-store or online use. Once a gift card is purchased, you need to enter the gift card information into the merchant's checkout or provide it in-store to complete the order. So while you may have already purchased the gift card, it's possible that an order with the merchant hasn't been placed yet. For further assistance, please email us at shoppersupport@sezzle.com."", 'modified': '2021-03-05T17:58:08Z'}"
FALSE,6/2/2021 4:27,So Blessed,5,Daijahhhhhhhhh,I simply loveeeee Sezzle in a world that has gone crazy in the last 1 1/2  years it’s been so difficult to wanna go out and shop to darn scared so with this app it allows you to sit at home in your easy chair and order whatever you want any season holiday birthdays whatever and pay little to have it and thanks Sezzle for Sezzle up Where your good payment history with them is reported to 3 major bureaus for good payment history I just love it and thank you for the great need for customers to shop save and pay later is such a Blessing thank you thank you thank you Satisfied Forever!!!!!!,
FALSE,3/1/2021 19:16,2nd chance for ability to pay in installments,5,WookieeRebel49,This is the best app and closest to having a “credit card “ to buy and pay in installments. I’ve paid on time 80% of the time and given the opportunity for extensions for unforeseen issues without any trouble from SEZZLE. Customer service is 150% helpful and understanding with this and I’ve even seen an increase in my credit for paying on time and not letting this account to lapse into default. Thank you Sezzle for the chance to be able to pay with extensions and giving me a chance to prove myself with this account.,
FALSE,9/1/2020 5:39,Great app and company,5,bergie1968,"I love Sezzle. Even with bad credit they will let you finance stuff. After making payments they raise your credit again and again. I’ve even been late making a payment but yet they still raised my credit again. Some of the stores are a little odd but they do have nice things. If you search you can find things that interest everyone.  They add new stores all the time. If you sign up for the Sezzle Up they will tell u your exact credit and up your limit. No charge for the Up. They also report payments to the creditBureau.
I highly recommend.",
FALSE,12/29/2020 17:14,Very frustrated!,1,DJPHENOM89,"A friend of my recommended this app to me. As everyone knows, Xbox Series X and PS5’s are hard to find! So he was able to get a Series X without having to pay full price, which is awesome! So I decided to download this app also and was really excited to finally get my hands on a Series X! So I set up everything correctly and tried to purchase a Series X before they were all grabbed and I kept getting declined, despite having more than enough money in my bank account! It took so long that the Series X and PS5’s ran out of stock! I attempted this app once again today with even MORE money in my account and no matter what I did I kept getting declined! I am very frustrated as the game consoles are out of stock once again because I wasted time on this app! What a waste of time and effort! I’d give this app 0 stars if I could!","{'id': 20198371, 'body': 'We understand your concern with having a declined order. If you could please send an email to shoppersupport@sezzle.com, our team will be able to look into why you may be declined to purchase.', 'modified': '2021-01-05T17:37:23Z'}"
FALSE,5/11/2021 5:56,Better than the rest!!,5,Chillicus,"I’ve used the others like Klarna and this is so much better. Do you know exactly what you have, what you’re getting, and what you have left. Rescheduling all the payments from the Wednesday purchase date to Friday payday was so easy, unlike others. App is seamless, intuitive, looks great, and easy to use. Overall really excited to keep using them and to try Sezzle Up in the future, it seems like it’s going to be a great way to help build back my credit. Thank you Sezzle for being around, so far you’ve really helped me and the wife!!!",
FALSE,12/9/2020 20:59,Merchant/Customer,1,Pita12010,"The customer is NOT always right. They protect the merchant not the customer. I place several orders to Lulu’s Bowtique Supply, and they always came to the new address, well my last order was a little over $77 and she sent it to a previous address and all she could say was to tell me for me to go to my old apartment and go claim my purchase or to check with the post office to see if everything was being forwarded to my new address. When mind you I had already received other packages from her to my new address. She wasn’t worried about because sezzle had paid her in full. So that was between me and sezzle. I reached out to sezzle but of course they were unable to help me because they couldn’t do anything about it. I will NEVER do business with either one of these two companies. HORRIBLE experience.!!!!!","{'id': 19937856, 'body': 'We’re sorry to hear you have not received your order. While the best option is to reach out to the merchant directly, since you are having issues with the merchant, please email shoppersupport@sezzle.com to ensure this issue is handled by the proper team.', 'modified': '2020-12-22T19:14:26Z'}"
FALSE,5/5/2021 0:50,I love this app,5,Queersential,"I’m new to this world after relying on credit cards and drowning in debt so I canceled them in order to pay them off and paid all my purchases in cash. 

Well enter Covid and struggles, enter me also wanting things to keep me entertained while I’m in quarantine and I wanted a Switch. I had a Switch Lite but wanted the bigger capacity and ability to connect to tv but it was SO expensive and with trying to pay off bills I couldn’t afford it. 

Enter Sezzle. I was able to get what I wanted and pay it off in record time. Thank you so much whomever invented this concept.",
